time [s/256],breathing_rate [rpm](/api/datatype/33/),minute_ventilation [mL/min](/api/datatype/36/),minute_ventilation_adjusted [mL/min](/api/datatype/38/),sleep_position [NA](/api/datatype/270/),activity [g](/api/datatype/49/),heart_rate [bpm](/api/datatype/19/),cadence [spm](/api/datatype/53/)
422053367605,10,17635.84,19806.404923076923,,0.0,65,0
422053367861,10,17635.84,19806.404923076923,,0.015625,65,0
422053368117,10,10902.88,12244.772923076924,,0.015625,65,0
422053368373,10,10902.88,12244.772923076924,,0.0234375,65,0
422053368629,10,10902.88,12244.772923076924,,0.02734375,65,0
422053368885,11,10902.88,12244.772923076924,,0.05859375,65,0
422053369141,11,10902.88,12244.772923076924,,0.06640625,65,0
422053369397,11,10902.88,12244.772923076924,,0.0703125,65,0
422053369653,10,10517.76,11812.253538461538,,0.0234375,64,0
422053369909,10,10517.76,11812.253538461538,,0.109375,65,0
422053370165,10,10517.76,11812.253538461538,,0.09375,65,0
422053370421,10,10517.76,11812.253538461538,,0.01953125,65,0
422053370677,10,10517.76,11812.253538461538,,0.02734375,75,0
422053370933,10,10517.76,11812.253538461538,,0.08984375,76,0
422053371189,10,10517.76,11812.253538461538,,0.015625,79,0
422053371445,10,9521.76,10693.668923076923,,0.0,77,0
422053371701,9,9521.76,10693.668923076923,,0.015625,77,0
422053371957,9,9521.76,10693.668923076923,,0.015625,82,0
422053372213,9,9521.76,10693.668923076923,,0.0,79,0
422053372469,9,9521.76,10693.668923076923,,0.02734375,80,0
422053372725,9,9521.76,10693.668923076923,,0.05078125,87,0
422053372981,9,9521.76,10693.668923076923,,0.03125,86,0
422053373237,9,9521.76,10693.668923076923,,0.015625,86,0
422053373493,9,9043.68,10156.748307692307,,0.01953125,79,0
422053373749,8,9043.68,10156.748307692307,,0.0625,79,0
422053374005,8,9043.68,10156.748307692307,,0.05078125,79,0
422053374261,8,9043.68,10156.748307692307,,0.01953125,79,0
422053374517,8,9043.68,10156.748307692307,,0.05859375,72,0
422053374773,8,10039.68,11275.332923076923,,0.03125,72,0
422053375029,8,10039.68,11275.332923076923,,0.01953125,79,0
422053375285,8,10039.68,11275.332923076923,,0.015625,73,0
422053375541,8,10039.68,11275.332923076923,,0.0,71,0
422053375797,8,10039.68,11275.332923076923,,0.0,73,0
422053376053,8,10039.68,11275.332923076923,,0.0234375,72,0
422053376309,8,10039.68,11275.332923076923,,0.078125,72,0
422053376565,8,10039.68,11275.332923076923,,0.09765625,73,0
422053376821,8,10039.68,11275.332923076923,,0.0546875,73,0
422053377077,8,11115.359999999999,12483.404307692308,,0.05078125,65,0
422053377333,8,11115.359999999999,12483.404307692308,,0.0546875,70,0
422053377589,7,11115.359999999999,12483.404307692308,,0.046875,70,0
422053377845,7,11115.359999999999,12483.404307692308,,0.0546875,69,0
422053378101,7,11115.359999999999,12483.404307692308,,0.05859375,70,0
422053378357,7,11115.359999999999,12483.404307692308,,0.05859375,71,0
422053378613,7,10252.16,11513.96430769231,,0.0390625,70,0
422053378869,7,10252.16,11513.96430769231,,0.03515625,64,0
422053379125,7,10252.16,11513.96430769231,,0.0390625,64,0
422053379381,7,10252.16,11513.96430769231,,0.03125,64,0
422053379637,7,10252.16,11513.96430769231,,0.07421875,74,0
422053379893,7,14196.32,15943.559384615384,,0.08984375,74,0
422053380149,8,14196.32,15943.559384615384,,0.1171875,79,0
422053380405,9,14196.32,15943.559384615384,,0.04296875,80,0
422053380661,9,14196.32,15943.559384615384,,0.1015625,82,0
422053380917,9,14196.32,15943.559384615384,,0.1015625,80,0
422053381173,9,14196.32,15943.559384615384,,0.0546875,80,0
422053381429,9,14196.32,15943.559384615384,,0.1171875,80,0
422053381685,9,14196.32,15943.559384615384,,0.1484375,85,0
422053381941,9,13784.64,15481.211076923079,,0.06640625,94,0
422053382197,9,13784.64,15481.211076923079,,0.03515625,93,0
422053382453,9,13784.64,15481.211076923079,,0.01953125,92,0
422053382709,8,13784.64,15481.211076923079,,0.015625,88,0
422053382965,8,13784.64,15481.211076923079,,0.0390625,88,0
422053383221,8,13784.64,15481.211076923079,,0.03515625,88,0
422053383477,9,13784.64,15481.211076923079,,0.05859375,88,0
422053383733,9,13784.64,15481.211076923079,,0.0625,90,0
422053383989,9,13784.64,15481.211076923079,,0.03515625,85,0
422053384245,8,13784.64,15481.211076923079,,0.0625,86,0
422053384501,8,13784.64,15481.211076923079,,0.0390625,87,0
422053384757,8,13784.64,15481.211076923079,,0.01953125,85,0
422053385013,8,13532.32,15197.836307692307,,0.0234375,85,0
422053385269,8,13532.32,15197.836307692307,,0.03125,88,0
422053385525,8,13532.32,15197.836307692307,,0.03125,88,0
422053385781,8,13532.32,15197.836307692307,,0.02734375,90,0
422053386037,8,13532.32,15197.836307692307,,0.01953125,81,0
422053386293,8,13532.32,15197.836307692307,,0.01953125,88,0
422053386549,8,13532.32,15197.836307692307,,0.02734375,88,0
422053386805,8,12987.84,14586.343384615384,,0.0234375,88,0
422053387061,8,12987.84,14586.343384615384,,0.02734375,93,0
422053387317,8,12987.84,14586.343384615384,,0.03515625,93,0
422053387573,8,12987.84,14586.343384615384,,0.0234375,93,0
422053387829,8,12987.84,14586.343384615384,,0.015625,90,0
422053388085,8,12987.84,14586.343384615384,,0.015625,98,0
422053388341,8,12987.84,14586.343384615384,,0.015625,96,0
422053388597,8,12987.84,14586.343384615384,,0.015625,95,0
422053388853,8,12987.84,14586.343384615384,,0.015625,92,0
422053389109,8,12987.84,14586.343384615384,,0.0,90,0
422053389365,8,12987.84,14586.343384615384,,0.015625,89,0
422053389621,8,12987.84,14586.343384615384,,0.0,89,0
422053389877,8,12987.84,14586.343384615384,,0.015625,88,0
422053390133,8,12987.84,14586.343384615384,,0.0,84,0
