time [s/256],breathing_rate [rpm](/api/datatype/33/),minute_ventilation [mL/min](/api/datatype/36/),minute_ventilation_adjusted [mL/min](/api/datatype/38/),sleep_position [NA](/api/datatype/270/),activity [g](/api/datatype/49/),heart_rate [bpm](/api/datatype/19/),cadence [spm](/api/datatype/53/)
422715614757,21,21221.44,23833.30953846154,,0.0,99,0
422715615013,21,21221.44,23833.30953846154,,0.0,99,0
422715615269,21,21221.44,23833.30953846154,,0.0,99,0
422715615525,21,21221.44,23833.30953846154,,0.0,99,0
422715615781,21,18127.2,20358.239999999998,,0.0,100,0
422715616037,19,18127.2,20358.239999999998,,0.0,101,0
422715616293,18,18127.2,20358.239999999998,,0.0,101,0
422715616549,18,18127.2,20358.239999999998,,0.0,100,0
422715616805,18,18127.2,20358.239999999998,,0.0,100,0
422715617061,18,18127.2,20358.239999999998,,0.0,101,0
422715617317,18,16201.599999999999,18195.643076923076,,0.0,101,0
422715617573,17,16201.599999999999,18195.643076923076,,0.0,101,0
422715617829,17,16387.52,18404.445538461543,,0.0,100,0
422715618085,16,16387.52,18404.445538461543,,0.0,99,0
422715618341,16,16082.08,18061.412923076925,,0.0,98,0
422715618597,17,16082.08,18061.412923076925,,0.015625,97,0
422715618853,17,16387.52,18404.445538461543,,0.01953125,96,0
422715619109,17,16387.52,18404.445538461543,,0.015625,95,0
422715619365,17,16387.52,18404.445538461543,,0.015625,96,0
422715619621,17,17489.76,19642.345846153847,,0.06640625,96,0
422715619877,17,17489.76,19642.345846153847,,0.01953125,96,0
422715620133,17,17489.76,19642.345846153847,,0.015625,96,0
422715620389,17,17489.76,19642.345846153847,,0.0,96,0
422715620645,17,10292.0,11558.707692307691,,0.015625,97,0
422715620901,17,10292.0,11558.707692307691,,0.0,97,0
422715621157,16,10292.0,11558.707692307691,,0.0,97,0
422715621413,17,12124.64,13616.903384615383,,0.0,97,0
422715621669,18,12124.64,13616.903384615383,,0.01953125,97,0
422715621925,19,12124.64,13616.903384615383,,0.140625,97,0
422715622181,20,12124.64,13616.903384615383,,0.31640625,97,0
422715622437,20,12124.64,13616.903384615383,,0.30078125,98,0
422715622693,20,23757.92,26681.971692307692,,0.16015625,98,0
422715622949,20,23757.92,26681.971692307692,,0.12890625,98,0
422715623205,20,23864.16,26801.287384615385,,0.2109375,99,0
422715623461,20,23864.16,26801.287384615385,,0.1953125,99,0
422715623717,20,23864.16,26801.287384615385,,0.203125,99,0
422715623973,20,22748.64,25548.472615384617,,0.1953125,100,0
422715624229,19,22748.64,25548.472615384617,,0.28515625,101,0
422715624485,19,23027.52,25861.676307692305,,0.2109375,103,0
422715624741,19,23027.52,25861.676307692305,,0.18359375,104,0
422715624997,19,23027.52,25861.676307692305,,0.12890625,105,0
422715625253,19,21141.76,23743.82276923077,,0.21875,105,38
422715625509,19,21141.76,23743.82276923077,,0.26171875,107,42
422715625765,19,21141.76,23743.82276923077,,0.3828125,109,44
422715626021,19,34368.64,38598.62646153846,,0.265625,108,38
422715626277,20,34368.64,38598.62646153846,,0.09375,107,0
422715626533,20,34368.64,38598.62646153846,,0.015625,107,0
422715626789,20,33624.96,37763.416615384616,,0.04296875,106,0
422715627045,20,33624.96,37763.416615384616,,0.16796875,105,0
422715627301,20,25988.96,29187.601230769233,,0.04296875,105,0
422715627557,21,25988.96,29187.601230769233,,0.0234375,103,0
422715627813,22,25988.96,29187.601230769233,,0.01953125,102,0
422715628069,23,25988.96,29187.601230769233,,0.0234375,102,0
422715628325,23,25988.96,29187.601230769233,,0.015625,104,0
422715628581,23,25988.96,29187.601230769233,,0.05859375,105,0
422715628837,22,25988.96,29187.601230769233,,0.3203125,106,0
422715629093,22,32469.6,36465.85846153846,,0.2734375,105,0
422715629349,20,32469.6,36465.85846153846,,0.40625,104,0
422715629605,19,43306.079999999994,48636.05907692308,,0.23828125,103,0
422715629861,19,42828.0,48099.13846153846,,0.1015625,103,0
422715630117,19,42828.0,48099.13846153846,,0.0546875,103,0
422715630373,19,42828.0,48099.13846153846,,0.328125,103,0
422715630629,19,42828.0,48099.13846153846,,0.06640625,103,0
422715630885,19,52668.479999999996,59150.75446153846,,0.07421875,103,0
422715631141,19,52668.479999999996,59150.75446153846,,0.265625,101,0
422715631397,19,52668.479999999996,59150.75446153846,,0.0625,100,0
422715631653,19,52668.479999999996,59150.75446153846,,0.015625,100,0
422715631909,19,52668.479999999996,59150.75446153846,,0.0234375,102,0
422715632165,18,38764.32,43535.313230769236,,0.01953125,104,0
422715632421,18,38764.32,43535.313230769236,,0.015625,105,0
422715632677,17,38764.32,43535.313230769236,,0.27734375,105,0
422715632933,17,48166.56,54094.75200000001,,0.0859375,106,0
422715633189,17,48166.56,54094.75200000001,,0.109375,106,0
422715633445,17,48166.56,54094.75200000001,,0.2109375,106,0
422715633701,17,48166.56,54094.75200000001,,0.03515625,106,0
422715633957,17,45630.079999999994,51246.089846153845,,0.0,106,0
422715634213,17,45630.079999999994,51246.089846153845,,0.03515625,106,0
422715634469,17,43757.6,49143.15076923077,,0.09765625,106,0
422715634725,18,43757.6,49143.15076923077,,0.140625,106,0
422715634981,20,35231.84,39568.06646153846,,0.1328125,106,0
422715635237,20,35231.84,39568.06646153846,,0.046875,105,0
422715635493,20,35218.56,39553.151999999995,,0.01953125,105,0
422715635749,19,35218.56,39553.151999999995,,0.0,106,0
422715636005,19,35218.56,39553.151999999995,,0.0,106,0
422715636261,19,25285.12,28397.134769230768,,0.0,106,0
422715636517,20,25285.12,28397.134769230768,,0.015625,105,0
422715636773,21,29096.48,32677.585230769233,,0.015625,105,0
422715637029,22,29096.48,32677.585230769233,,0.03515625,104,0
422715637285,24,17303.84,19433.543384615383,,0.015625,103,0
422715637541,25,17303.84,19433.543384615383,,0.0,102,0
422715637797,26,20172.32,22655.067076923075,,0.0,101,0
422715638053,26,20172.32,22655.067076923075,,0.015625,101,0
422715638309,27,17529.6,19687.08923076923,,0.02734375,101,0
422715638565,27,17529.6,19687.08923076923,,0.03515625,100,0
422715638821,27,17529.6,19687.08923076923,,0.15234375,101,0
422715639077,27,19787.2,22222.547692307693,,0.09375,102,0
422715639333,26,19787.2,22222.547692307693,,0.06640625,102,0
422715639589,26,20982.399999999998,23564.84923076923,,0.11328125,102,0
422715639845,26,20982.399999999998,23564.84923076923,,0.10546875,103,0
422715640101,26,21553.44,24206.171076923074,,0.03515625,103,0
422715640357,27,21553.44,24206.171076923074,,0.0,103,0
422715640613,28,21513.6,24161.427692307694,,0.0,104,0
422715640869,28,21513.6,24161.427692307694,,0.015625,105,0
422715641125,28,20026.239999999998,22491.007999999998,,0.0,105,0
422715641381,27,20026.239999999998,22491.007999999998,,0.01953125,105,0
422715641637,27,20119.2,22595.409230769234,,0.0703125,104,0
422715641893,28,20119.2,22595.409230769234,,0.0234375,104,0
422715642149,28,21261.28,23878.05292307692,,0.015625,104,0
422715642405,28,21261.28,23878.05292307692,,0.0,103,0
422715642661,28,18379.52,20641.614769230768,,0.01953125,102,0
