time [s/256],breathing_rate [rpm](/api/datatype/33/),minute_ventilation [mL/min](/api/datatype/36/),minute_ventilation_adjusted [mL/min](/api/datatype/38/),sleep_position [NA](/api/datatype/270/),activity [g](/api/datatype/49/),heart_rate [bpm](/api/datatype/19/),cadence [spm](/api/datatype/53/)
421854692983,22,30039.359999999997,33736.511999999995,,0.30859375,96,0
421854693239,23,30039.359999999997,33736.511999999995,,0.15234375,97,0
421854693495,23,30039.359999999997,33736.511999999995,,0.11328125,98,0
421854693751,23,30039.359999999997,33736.511999999995,,0.109375,99,0
421854694007,22,26015.52,29217.43015384615,,0.11328125,99,0
421854694263,22,26015.52,29217.43015384615,,0.1171875,99,0
421854694519,21,26015.52,29217.43015384615,,0.1171875,99,0
421854694775,21,26015.52,29217.43015384615,,0.09375,99,0
421854695031,21,25152.32,28247.990153846153,,0.11328125,99,0
421854695287,20,25152.32,28247.990153846153,,0.14453125,99,0
421854695543,20,28140.32,31603.744000000002,,0.2421875,99,0
421854695799,21,28140.32,31603.744000000002,,0.09375,98,0
421854696055,22,29720.64,33378.56492307692,,0.11328125,98,0
421854696311,22,32310.239999999998,36286.88492307693,,0.12890625,97,0
421854696567,23,32310.239999999998,36286.88492307693,,0.10546875,97,0
421854696823,23,32310.239999999998,36286.88492307693,,0.109375,97,0
421854697079,23,30012.8,33706.68307692307,,0.14453125,99,0
421854697335,23,30012.8,33706.68307692307,,0.140625,99,0
421854697591,23,30012.8,33706.68307692307,,0.171875,101,0
421854697847,23,29919.84,33602.28184615385,,0.15234375,103,0
421854698103,22,29919.84,33602.28184615385,,0.203125,106,0
421854698359,23,35218.56,39553.151999999995,,0.19140625,109,0
421854698615,23,35218.56,39553.151999999995,,0.1640625,112,0
421854698871,24,35218.56,39553.151999999995,,0.15625,115,0
421854699127,25,38020.64,42700.10338461539,,0.15234375,118,0
421854699383,26,37954.24,42625.53107692308,,0.1640625,120,0
421854699639,27,37954.24,42625.53107692308,,0.140625,121,0
421854699895,27,37954.24,42625.53107692308,,0.16796875,121,0
421854700151,27,38512.0,43251.93846153846,,0.30859375,122,0
421854700407,26,38512.0,43251.93846153846,,0.2109375,123,0
421854700663,25,38405.759999999995,43132.622769230766,,0.22265625,123,0
421854700919,25,38405.759999999995,43132.622769230766,,0.140625,123,0
421854701175,25,41712.479999999996,46846.3236923077,,0.109375,122,0
421854701431,26,41712.479999999996,46846.3236923077,,0.12109375,122,0
421854701687,26,41712.479999999996,46846.3236923077,,0.12890625,122,0
421854701943,26,42960.799999999996,48248.28307692307,,0.140625,122,0
421854702199,26,42960.799999999996,48248.28307692307,,0.1875,122,0
421854702455,26,41526.56,46637.52123076923,,0.16796875,122,0
421854702711,26,41526.56,46637.52123076923,,0.16015625,123,0
421854702967,26,42708.479999999996,47964.908307692305,,0.19921875,123,0
421854703223,27,42708.479999999996,47964.908307692305,,0.22265625,124,0
421854703479,27,42456.159999999996,47681.53353846155,,0.16015625,125,0
421854703735,27,42456.159999999996,47681.53353846155,,0.1875,125,0
421854703991,27,43306.079999999994,48636.05907692308,,0.18359375,126,0
421854704247,28,43531.84,48889.60492307692,,0.1484375,127,0
421854704503,29,43531.84,48889.60492307692,,0.12890625,127,0
421854704759,29,43332.64,48665.888000000006,,0.1328125,128,0
421854705015,30,43332.64,48665.888000000006,,0.13671875,128,0
421854705271,30,43332.64,48665.888000000006,,0.16015625,129,0
421854705527,30,50224.96,56406.493538461546,,0.13671875,129,0
421854705783,30,50224.96,56406.493538461546,,0.14453125,130,0
421854706039,31,50782.72,57032.90092307692,,0.16015625,130,0
421854706295,31,50782.72,57032.90092307692,,0.16796875,130,0
421854706551,30,51898.24,58285.7156923077,,0.15234375,130,0
421854706807,30,52681.759999999995,59165.66892307692,,0.15234375,131,0
421854707063,31,52681.759999999995,59165.66892307692,,0.15234375,131,0
421854707319,31,53359.04,59926.306461538465,,0.23828125,132,0
421854707575,31,53359.04,59926.306461538465,,0.27734375,133,0
421854707831,31,53239.52,59792.0763076923,,0.21484375,133,0
421854708087,31,53239.52,59792.0763076923,,0.19921875,134,0
421854708343,31,54102.719999999994,60761.516307692305,,0.15234375,135,0
421854708599,32,54102.719999999994,60761.516307692305,,0.19140625,136,0
421854708855,32,56772.0,63759.32307692307,,0.171875,136,0
421854709111,32,56772.0,63759.32307692307,,0.15234375,136,0
421854709367,32,55204.96,61999.416615384616,,0.15625,136,0
421854709623,32,55204.96,61999.416615384616,,0.14453125,136,0
421854709879,32,55616.64,62461.76492307692,,0.15234375,135,0
421854710135,32,56453.28,63401.376000000004,,0.171875,135,0
421854710391,32,56453.28,63401.376000000004,,0.16015625,135,0
421854710647,32,56825.119999999995,63818.980923076924,,0.12890625,135,0
421854710903,32,56825.119999999995,63818.980923076924,,0.15625,135,0
421854711159,32,60941.92,68442.464,,0.140625,135,0
421854711415,32,60941.92,68442.464,,0.13671875,135,0
421854711671,32,61194.24,68725.83876923076,,0.14453125,136,0
421854711927,32,55470.56,62297.70584615384,,0.23828125,135,0
421854712183,33,55470.56,62297.70584615384,,0.19921875,136,0
421854712439,34,59600.64,66936.10338461539,,0.1640625,136,0
421854712695,35,59600.64,66936.10338461539,,0.2109375,136,0
421854712951,35,60171.68,67577.42523076922,,0.2890625,136,0
421854713207,35,61088.0,68606.52307692307,,0.12109375,135,0
421854713463,35,61088.0,68606.52307692307,,0.1015625,134,0
421854713719,35,61380.159999999996,68934.64123076922,,0.03515625,134,0
421854713975,35,61380.159999999996,68934.64123076922,,0.05078125,132,0
421854714231,34,58458.56,65653.45969230769,,0.04296875,131,0
421854714487,34,58458.56,65653.45969230769,,0.1015625,130,0
421854714743,33,58458.56,65653.45969230769,,0.078125,130,0
421854714999,33,56891.52,63893.553230769234,,0.13671875,129,0
421854715255,32,58246.079999999994,65414.8283076923,,0.19921875,129,0
421854715511,31,58246.079999999994,65414.8283076923,,0.25,128,0
421854715767,31,58365.6,65549.05846153846,,0.31640625,127,0
421854716023,31,58365.6,65549.05846153846,,0.3515625,126,46
421854716279,31,62150.399999999994,69799.68,,0.23828125,126,84
421854716535,31,62150.399999999994,69799.68,,0.20703125,127,113
421854716791,31,62110.56,69754.93661538462,,0.1796875,127,114
421854717047,31,62110.56,69754.93661538462,,0.171875,128,87
421854717303,31,62987.03999999999,70739.29107692308,,0.11328125,129,39
421854717559,31,61592.64,69173.27261538462,,0.1484375,131,0
421854717815,32,61592.64,69173.27261538462,,0.1171875,132,0
421854718071,32,63558.079999999994,71380.61292307691,,0.07421875,134,0
421854718327,33,63558.079999999994,71380.61292307691,,0.0703125,134,0
421854718583,33,62827.68,70560.31753846153,,0.07421875,134,0
421854718839,34,62827.68,70560.31753846153,,0.09375,134,0
421854719095,34,58551.52,65757.86092307692,,0.08203125,133,0
421854719351,33,58551.52,65757.86092307692,,0.1015625,132,0
421854719607,32,55204.96,61999.416615384616,,0.078125,132,0
421854719863,32,55204.96,61999.416615384616,,0.078125,131,0
421854720119,33,53305.92,59866.64861538462,,0.0859375,130,0
421854720375,33,53305.92,59866.64861538462,,0.07421875,128,0
421854720631,32,53305.92,59866.64861538462,,0.08203125,127,0
421854720887,32,43784.159999999996,49172.979692307694,,0.08203125,125,0
421854721143,30,43784.159999999996,49172.979692307694,,0.06640625,124,0
421854721399,29,46958.079999999994,52737.536,,0.0625,122,0
421854721655,28,46958.079999999994,52737.536,,0.0625,120,0
421854721911,28,46148.0,51827.75384615385,,0.078125,120,0
421854722167,28,46148.0,51827.75384615385,,0.05859375,120,0
421854722423,28,44102.88,49530.92676923078,,0.0625,120,0
421854722679,28,44102.88,49530.92676923078,,0.09765625,120,0
421854722935,27,44102.88,49530.92676923078,,0.0390625,115,0
421854723191,27,44966.079999999994,50500.366769230764,,0.03515625,112,0
421854723447,27,41247.68,46324.31753846154,,0.04296875,108,0
421854723703,27,41247.68,46324.31753846154,,0.0703125,107,0
421854723959,27,41247.68,46324.31753846154,,0.0546875,103,0
421854724215,27,40158.72,45101.33169230769,,0.1171875,101,0
421854724471,26,40158.72,45101.33169230769,,0.2421875,98,0
421854724727,26,42721.759999999995,47979.82276923077,5.0,0.09375,97,0
421854724983,27,42721.759999999995,47979.82276923077,,0.02734375,96,0
421854725239,28,36095.04,40537.50646153846,,0.0234375,96,0
421854725495,29,36095.04,40537.50646153846,,0.0234375,97,0
421854725751,29,33903.84,38076.620307692305,,0.03515625,97,0
421854726007,29,32947.68,37002.77907692308,,0.09375,95,0
421854726263,29,32947.68,37002.77907692308,,0.07421875,94,0
421854726519,29,32947.68,37002.77907692308,,0.05859375,96,0
421854726775,29,29162.879999999997,32752.15753846154,,0.078125,97,0
421854727031,30,29162.879999999997,32752.15753846154,,0.09375,99,0
421854727287,30,29162.879999999997,32752.15753846154,,0.09375,100,0
421854727543,30,26812.32,30112.297846153848,,0.1171875,99,0
421854727799,28,26812.32,30112.297846153848,,0.04296875,99,0
421854728055,27,26812.32,30112.297846153848,,0.01953125,99,0
421854728311,27,25139.039999999997,28233.07569230769,,0.01953125,102,0
421854728567,27,25139.039999999997,28233.07569230769,,0.0859375,104,0
421854728823,26,25139.039999999997,28233.07569230769,1.0,0.13671875,104,0
421854729079,26,25139.039999999997,28233.07569230769,,0.09765625,102,0
421854729335,26,32801.6,36838.72,,0.08203125,100,0
421854729591,24,32801.6,36838.72,,0.10546875,98,0
421854729847,23,32801.6,36838.72,,0.11328125,97,0
421854730103,22,34528.0,38777.600000000006,,0.11328125,98,0
421854730359,22,34528.0,38777.600000000006,,0.1171875,98,0
421854730615,22,36227.84,40686.65107692307,,0.078125,98,0
421854730871,22,36227.84,40686.65107692307,,0.17578125,98,0
421854731127,22,36227.84,40686.65107692307,,0.08984375,97,0
