time [s/256],breathing_rate [rpm](/api/datatype/33/),minute_ventilation [mL/min](/api/datatype/36/),minute_ventilation_adjusted [mL/min](/api/datatype/38/),sleep_position [NA](/api/datatype/270/),activity [g](/api/datatype/49/),heart_rate [bpm](/api/datatype/19/),cadence [spm](/api/datatype/53/)
422715619196,17,14475.199999999999,16256.763076923078,,0.3125,94,97
422715619452,17,15139.199999999999,17002.486153846152,,0.27734375,94,111
422715619708,17,15139.199999999999,17002.486153846152,,0.421875,95,111
422715619964,18,15139.199999999999,17002.486153846152,,1.0859375,93,110
422715620220,17,16400.8,18419.36,,1.234375,93,114
422715620476,17,16400.8,18419.36,,1.3203125,93,127
422715620732,17,16400.8,18419.36,,0.8515625,94,146
422715620988,17,20212.16,22699.810461538465,,0.40234375,95,156
422715621244,19,20212.16,22699.810461538465,,0.21875,96,152
422715621500,20,23877.44,26816.20184615385,,0.34765625,97,138
422715621756,22,23877.44,26816.20184615385,,0.1875,98,119
422715622012,23,26161.6,29381.489230769228,,0.19921875,100,102
422715622268,24,26161.6,29381.489230769228,,0.1953125,102,85
422715622524,25,26161.6,29381.489230769228,,0.171875,103,72
422715622780,25,26161.6,29381.489230769228,,0.21875,108,65
422715623036,25,24780.48,27830.38523076923,,0.3125,108,60
422715623292,24,24780.48,27830.38523076923,,0.34765625,108,55
422715623548,24,25484.32,28620.851692307693,,0.25390625,108,57
422715623804,24,25484.32,28620.851692307693,,0.296875,107,69
422715624060,24,25484.32,28620.851692307693,,0.2890625,107,87
422715624316,23,26945.12,30261.442461538463,,0.2734375,106,98
422715624572,23,26945.12,30261.442461538463,,0.26953125,105,97
422715624828,22,26945.12,30261.442461538463,,0.27734375,104,90
422715625084,22,27024.8,30350.929230769234,,0.26953125,104,84
422715625340,22,27024.8,30350.929230769234,,0.2578125,104,78
422715625596,22,27024.8,30350.929230769234,,0.29296875,103,73
422715625852,23,27024.8,30350.929230769234,,0.28515625,103,68
422715626108,22,26918.559999999998,30231.613538461537,,0.25390625,102,68
422715626364,22,26918.559999999998,30231.613538461537,,0.3359375,102,68
422715626620,21,25816.32,28993.71323076923,,0.33203125,102,64
422715626876,21,25816.32,28993.71323076923,,0.3046875,103,60
422715627132,20,25816.32,28993.71323076923,,0.26171875,103,58
422715627388,20,25816.32,28993.71323076923,,0.1796875,103,57
422715627644,20,26267.84,29500.80492307692,,0.21875,103,55
422715627900,20,26267.84,29500.80492307692,,0.21484375,103,54
422715628156,19,26267.84,29500.80492307692,,0.17578125,102,52
422715628412,19,27343.52,30708.876307692306,,0.1875,102,49
422715628668,19,27343.52,30708.876307692306,,0.2265625,101,49
422715628924,19,27343.52,30708.876307692306,,0.21484375,101,51
422715629180,19,26692.8,29978.06769230769,,0.2265625,99,51
422715629436,19,26692.8,29978.06769230769,,0.3125,99,48
422715629692,19,26692.8,29978.06769230769,,0.28515625,98,46
422715629948,19,26692.8,29978.06769230769,3.0,0.22265625,97,46
422715630204,19,32775.04,36808.891076923086,,0.13671875,97,47
422715630460,18,32775.04,36808.891076923086,,0.078125,97,39
422715630716,18,32775.04,36808.891076923086,,0.05859375,97,0
422715630972,18,32775.04,36808.891076923086,,0.0625,97,0
422715631228,18,32775.04,36808.891076923086,,0.0390625,96,0
422715631484,18,32775.04,36808.891076923086,,0.0546875,95,0
422715631740,18,32775.04,36808.891076923086,,0.046875,95,0
422715631996,18,32775.04,36808.891076923086,,0.04296875,95,0
422715632252,17,28405.92,31902.03323076923,,0.04296875,94,0
422715632508,16,28405.92,31902.03323076923,,0.05078125,94,0
422715632764,15,28405.92,31902.03323076923,,0.0703125,94,0
422715633020,15,30716.64,34497.149538461534,,0.04296875,94,0
422715633276,15,30716.64,34497.149538461534,,0.0703125,94,0
422715633532,15,30716.64,34497.149538461534,,0.046875,95,0
422715633788,15,30716.64,34497.149538461534,,0.14453125,94,0
422715634044,15,30411.199999999997,34154.11692307693,,0.125,95,0
422715634300,15,30411.199999999997,34154.11692307693,,0.16796875,96,0
422715634556,15,30411.199999999997,34154.11692307693,,0.23828125,96,0
422715634812,14,30411.199999999997,34154.11692307693,,0.0546875,97,0
422715635068,14,30411.199999999997,34154.11692307693,,0.05859375,98,0
422715635324,14,30411.199999999997,34154.11692307693,,0.05078125,99,0
422715635580,14,29601.12,33244.334769230765,,0.0546875,100,0
422715635836,14,29601.12,33244.334769230765,,0.04296875,100,0
422715636092,14,30265.12,33990.05784615385,,0.05078125,100,0
422715636348,14,30265.12,33990.05784615385,,0.0625,99,0
422715636604,14,30265.12,33990.05784615385,,0.11328125,98,0
422715636860,14,30265.12,33990.05784615385,,0.23828125,97,0
422715637116,14,30437.76,34183.945846153845,,0.203125,97,0
422715637372,14,30437.76,34183.945846153845,,0.078125,97,0
422715637628,14,24448.48,27457.523692307695,,0.1640625,98,0
422715637884,14,24448.48,27457.523692307695,,0.12109375,98,0
422715638140,15,27941.12,31380.027076923074,,0.12109375,99,0
422715638396,16,27941.12,31380.027076923074,,0.07421875,99,0
422715638652,17,27941.12,31380.027076923074,,0.03515625,99,0
422715638908,18,27941.12,31380.027076923074,,0.01953125,101,0
422715639164,18,24740.64,27785.64184615385,,0.015625,102,0
422715639420,18,24740.64,27785.64184615385,,0.015625,102,0
422715639676,17,24740.64,27785.64184615385,,0.0,102,0
422715639932,17,24740.64,27785.64184615385,,0.015625,102,0
422715640188,17,23904.0,26846.03076923077,,0.0234375,102,0
422715640444,17,23904.0,26846.03076923077,,0.05859375,103,0
422715640700,17,23904.0,26846.03076923077,,0.0546875,103,0
422715640956,18,24568.0,27591.753846153846,,0.04296875,103,0
422715641212,19,24568.0,27591.753846153846,,0.12109375,104,0
422715641468,20,24156.32,27129.405538461542,,0.14453125,104,0
422715641724,20,24156.32,27129.405538461542,,0.20703125,104,0
422715641980,20,24156.32,27129.405538461542,,0.15625,103,0
422715642236,20,24156.32,27129.405538461542,,0.16015625,102,0
422715642492,20,22974.399999999998,25802.018461538464,,0.14453125,102,0
422715642748,20,28087.199999999997,31544.086153846154,,0.70703125,101,0
422715643004,20,28087.199999999997,31544.086153846154,,0.80859375,100,0
422715643260,20,28087.199999999997,31544.086153846154,,0.19921875,99,0
422715643516,21,28087.199999999997,31544.086153846154,,0.1953125,99,34
422715643772,20,27848.16,31275.62584615385,,0.1171875,99,45
422715644028,20,27848.16,31275.62584615385,,0.09765625,100,0
422715644284,19,27848.16,31275.62584615385,5.0,0.23046875,101,0
422715644540,19,29787.039999999997,33453.13723076923,,0.1640625,103,0
422715644796,19,29787.039999999997,33453.13723076923,,0.125,103,35
422715645052,20,29787.039999999997,33453.13723076923,,0.0546875,104,34
422715645308,20,30437.76,34183.945846153845,,0.0859375,105,0
422715645564,21,30437.76,34183.945846153845,,0.15625,109,0
422715645820,21,32004.8,35943.85230769231,,0.23828125,113,0
422715646076,22,32004.8,35943.85230769231,,0.171875,113,0
422715646332,22,32004.8,35943.85230769231,,0.1171875,113,0
422715646588,22,32004.8,35943.85230769231,,0.07421875,113,0
422715646844,22,32283.679999999997,36257.056,,0.08203125,113,0
422715647100,21,32283.679999999997,36257.056,,0.16015625,113,0
422715647356,21,32283.679999999997,36257.056,,0.1484375,113,0
422715647612,20,32283.679999999997,36257.056,,0.578125,114,0
422715647868,20,32283.679999999997,36257.056,,1.20703125,116,0
422715648124,20,37144.159999999996,41715.74892307693,,1.8046875,118,0
422715648380,19,37144.159999999996,41715.74892307693,,0.81640625,118,0
422715648636,19,37144.159999999996,41715.74892307693,,0.2734375,118,57
422715648892,19,37144.159999999996,41715.74892307693,,0.26953125,119,78
422715649148,18,31008.8,34825.267692307694,,0.3046875,119,84
422715649404,18,31008.8,34825.267692307694,,0.25390625,119,83
422715649660,17,31008.8,34825.267692307694,,0.21875,120,81
422715649916,17,31858.719999999998,35779.79323076923,,0.15234375,120,79
422715650172,17,31858.719999999998,35779.79323076923,,0.16796875,121,78
422715650428,18,32004.8,35943.85230769231,,0.12890625,122,79
422715650684,18,35152.159999999996,39478.57969230769,,0.06640625,122,66
422715650940,19,35152.159999999996,39478.57969230769,,0.01953125,122,32
422715651196,20,35152.159999999996,39478.57969230769,,0.0390625,123,0
422715651452,20,33067.2,37137.00923076924,,0.16015625,122,0
422715651708,20,33067.2,37137.00923076924,,0.13671875,122,0
422715651964,20,32575.84,36585.17415384615,,0.15625,122,0
422715652220,20,32575.84,36585.17415384615,,0.1640625,121,0
422715652476,21,29043.359999999997,32617.92738461539,,0.046875,121,0
422715652732,23,29043.359999999997,32617.92738461539,,0.0234375,121,0
422715652988,25,29043.359999999997,32617.92738461539,,0.02734375,121,0
422715653244,25,29043.359999999997,32617.92738461539,,0.04296875,121,0
422715653500,25,31340.8,35198.12923076923,,0.19921875,122,0
422715653756,24,31340.8,35198.12923076923,,0.12890625,123,0
422715654012,25,34010.08,38195.936,,0.21875,123,0
422715654268,25,34010.08,38195.936,,0.10546875,122,0
422715654524,26,34010.08,38195.936,,0.02734375,121,0
422715654780,26,32907.84,36958.03569230769,,0.15625,120,0
422715655036,25,32907.84,36958.03569230769,,0.09765625,119,0
422715655292,24,32907.84,36958.03569230769,,0.015625,118,0
422715655548,23,31075.199999999997,34899.84,,0.12109375,116,0
422715655804,22,31075.199999999997,34899.84,,0.1953125,116,0
422715656060,22,33505.439999999995,37629.18646153847,,0.07421875,115,0
422715656316,23,34528.0,38777.600000000006,,0.13671875,115,0
422715656572,24,34528.0,38777.600000000006,,0.125,115,0
422715656828,24,34528.0,38777.600000000006,,0.08203125,116,0
422715657084,24,31885.28,35809.622153846154,,0.140625,117,0
422715657340,24,31885.28,35809.622153846154,,0.0390625,117,0
422715657596,24,33292.96,37390.555076923076,,0.07421875,116,0
422715657852,25,33292.96,37390.555076923076,,0.01953125,114,0
422715658108,26,30955.68,34765.60984615384,,0.05859375,113,0
422715658364,27,30955.68,34765.60984615384,,0.08984375,113,0
422715658620,27,29216.0,32811.81538461539,,0.09765625,113,0
422715658876,29,33399.2,37509.870769230765,,0.11328125,112,0
422715659132,32,33399.2,37509.870769230765,,0.02734375,111,0
422715659388,33,33850.72,38016.96246153846,,0.05078125,108,0
422715659644,33,33850.72,38016.96246153846,,0.09375,106,0
422715659900,32,30291.68,34019.88676923077,,0.17578125,103,0
422715660156,31,30291.68,34019.88676923077,,0.05859375,101,0
422715660412,30,30291.68,34019.88676923077,,0.0,100,0
422715660668,30,30291.68,34019.88676923077,,0.03515625,97,0
422715660924,29,33399.2,37509.870769230765,,0.0390625,96,0
422715661180,28,33399.2,37509.870769230765,,0.125,92,0
422715661436,28,33399.2,37509.870769230765,,0.1953125,92,0
422715661692,27,33399.2,37509.870769230765,,0.15625,91,0
422715661948,27,33399.2,37509.870769230765,,0.03515625,90,0
422715662204,27,32695.359999999997,36719.404307692304,,0.08984375,90,0
422715662460,25,32695.359999999997,36719.404307692304,,0.14453125,90,0
422715662716,23,32695.359999999997,36719.404307692304,,0.17578125,89,0
422715662972,23,32695.359999999997,36719.404307692304,,0.1015625,89,0
422715663228,23,33864.0,38031.876923076925,,0.11328125,88,0
422715663484,22,33864.0,38031.876923076925,,0.04296875,87,0
422715663740,21,33000.799999999996,37062.43692307692,,0.11328125,86,0
422715663996,21,33000.799999999996,37062.43692307692,,0.07421875,86,0
422715664252,20,33000.799999999996,37062.43692307692,,0.14453125,85,0
422715664508,20,28950.399999999998,32513.526153846156,,0.09375,85,0
422715664764,19,28950.399999999998,32513.526153846156,,0.16796875,85,0
422715665020,19,28950.399999999998,32513.526153846156,,0.03125,84,0
422715665276,19,28950.399999999998,32513.526153846156,,0.0,83,0
422715665532,18,25444.48,28576.108307692306,,0.015625,83,0
422715665788,18,25444.48,28576.108307692306,,0.0,82,0
422715666044,17,26586.559999999998,29858.752000000004,,0.015625,81,0
422715666300,17,26586.559999999998,29858.752000000004,,0.10546875,80,0
422715666556,17,26586.559999999998,29858.752000000004,,0.1015625,80,0
422715666812,17,26586.559999999998,29858.752000000004,,0.078125,80,0
422715667068,17,25192.16,28292.73353846154,,0.11328125,79,0
422715667324,18,25192.16,28292.73353846154,,0.13671875,79,0
422715667580,18,25192.16,28292.73353846154,,0.109375,79,0
422715667836,18,25192.16,28292.73353846154,,0.09375,80,0
422715668092,18,21606.559999999998,24265.828923076922,,0.1015625,80,0
422715668348,18,21606.559999999998,24265.828923076922,,0.109375,80,0
422715668604,18,21606.559999999998,24265.828923076922,,0.078125,80,0
422715668860,17,21606.559999999998,24265.828923076922,,0.078125,80,0
422715669116,18,18804.48,21118.877538461536,,0.09765625,82,0
422715669372,18,18804.48,21118.877538461536,,0.140625,82,0
422715669628,18,18804.48,21118.877538461536,,0.046875,83,0
422715669884,18,20743.36,23296.388923076924,,0.0546875,83,0
422715670140,18,20743.36,23296.388923076924,,0.08984375,84,0
422715670396,18,20743.36,23296.388923076924,,0.2421875,85,0
422715670652,18,20743.36,23296.388923076924,,0.10546875,86,0
422715670908,18,22244.0,24981.72307692308,,0.1171875,87,0
422715671164,17,22244.0,24981.72307692308,,0.13671875,88,0
422715671420,17,24554.719999999998,27576.839384615385,,0.15234375,87,0
422715671676,17,24554.719999999998,27576.839384615385,,0.19140625,87,0
422715671932,18,24554.719999999998,27576.839384615385,,0.21484375,87,0
422715672188,18,24554.719999999998,27576.839384615385,,0.3515625,87,0
422715672444,18,23664.96,26577.57046153846,,0.25,87,0
422715672700,17,23664.96,26577.57046153846,,0.078125,88,0
422715672956,17,23664.96,26577.57046153846,,0.296875,90,0
422715673212,17,23664.96,26577.57046153846,,0.140625,90,0
422715673468,17,22323.68,25071.209846153848,,0.13671875,90,0
422715673724,17,22323.68,25071.209846153848,,0.17578125,91,0
422715673980,17,22323.68,25071.209846153848,,0.04296875,91,0
422715674236,17,24860.16,27919.872,,0.08203125,91,0
422715674492,17,24860.16,27919.872,,0.078125,92,0
422715674748,18,26320.96,29560.46276923077,,0.08984375,92,0
422715675004,19,26320.96,29560.46276923077,,0.23046875,93,0
422715675260,19,26320.96,29560.46276923077,,0.11328125,93,0
422715675516,19,24767.199999999997,27815.47076923077,,0.19921875,93,0
422715675772,19,24767.199999999997,27815.47076923077,,0.21875,93,0
422715676028,19,24767.199999999997,27815.47076923077,,0.0390625,94,0
422715676284,19,25431.199999999997,28561.193846153845,,0.01953125,95,0
422715676540,20,25431.199999999997,28561.193846153845,,0.01953125,97,0
422715676796,20,25431.199999999997,28561.193846153845,,0.01953125,99,0
422715677052,20,25431.199999999997,28561.193846153845,,0.015625,100,0
422715677308,20,23850.879999999997,26786.372923076924,,0.01953125,101,0
422715677564,19,23850.879999999997,26786.372923076924,,0.015625,101,0
422715677820,18,23850.879999999997,26786.372923076924,,0.0234375,100,0
422715678076,18,23014.239999999998,25846.761846153844,,0.03125,100,0
422715678332,18,23014.239999999998,25846.761846153844,,0.03515625,100,0
422715678588,18,23014.239999999998,25846.761846153844,,0.0859375,99,0
422715678844,19,25935.84,29127.943384615388,,0.0234375,97,0
422715679100,20,25935.84,29127.943384615388,,0.015625,97,0
422715679356,21,26294.399999999998,29530.633846153847,,0.015625,97,0
422715679612,21,26294.399999999998,29530.633846153847,,0.01953125,96,0
422715679868,21,24607.84,27636.497230769233,,0.015625,96,0
422715680124,21,24607.84,27636.497230769233,,0.03125,96,0
422715680380,21,24607.84,27636.497230769233,,0.078125,96,0
422715680636,21,24607.84,27636.497230769233,,0.140625,98,0
422715680892,21,28007.52,31454.599384615387,,0.08203125,98,0
422715681148,21,28007.52,31454.599384615387,,0.15625,98,0
422715681404,20,28007.52,31454.599384615387,,0.171875,99,0
422715681660,20,28007.52,31454.599384615387,,0.08984375,99,0
422715681916,20,23797.76,26726.71507692308,,0.0859375,100,0
422715682172,19,23797.76,26726.71507692308,,0.05859375,100,0
422715682428,19,23797.76,26726.71507692308,,0.04296875,101,0
422715682684,19,23797.76,26726.71507692308,,0.02734375,102,0
422715682940,19,24714.079999999998,27755.812923076923,,0.05078125,101,0
422715683196,19,24714.079999999998,27755.812923076923,,0.0546875,100,0
422715683452,19,24714.079999999998,27755.812923076923,,0.0,99,0
422715683708,19,24714.079999999998,27755.812923076923,,0.0,99,0
422715683964,19,25510.879999999997,28650.68061538462,,0.02734375,99,0
422715684220,19,25510.879999999997,28650.68061538462,,0.11328125,99,0
422715684476,18,25510.879999999997,28650.68061538462,,0.171875,99,0
422715684732,18,23160.32,26010.82092307692,,0.125,99,0
422715684988,18,23160.32,26010.82092307692,,0.109375,99,0
422715685244,18,23160.32,26010.82092307692,,0.1171875,99,0
422715685500,18,23160.32,26010.82092307692,,0.06640625,99,0
422715685756,18,23160.32,26010.82092307692,,0.03125,97,0
422715686012,18,21978.399999999998,24683.43384615385,,0.05078125,93,0
422715686268,17,21978.399999999998,24683.43384615385,,0.15625,89,0
422715686524,16,21978.399999999998,24683.43384615385,,0.109375,86,0
422715686780,15,21978.399999999998,24683.43384615385,,0.0234375,83,0
422715687036,15,21978.399999999998,24683.43384615385,,0.01953125,82,0
422715687292,15,24143.039999999997,27114.491076923077,,0.015625,82,0
422715687548,15,24143.039999999997,27114.491076923077,,0.015625,82,0
422715687804,15,24143.039999999997,27114.491076923077,,0.0,82,0
422715688060,15,24143.039999999997,27114.491076923077,,0.0,81,0
422715688316,15,24143.039999999997,27114.491076923077,,0.015625,81,0
422715688572,15,24143.039999999997,27114.491076923077,,0.04296875,81,0
422715688828,15,18339.68,20596.871384615384,,0.0234375,81,0
422715689084,14,18339.68,20596.871384615384,,0.09765625,82,0
422715689340,13,18339.68,20596.871384615384,,0.078125,82,0
422715689596,13,18339.68,20596.871384615384,,0.04296875,82,0
422715689852,13,21460.48,24101.769846153846,,0.05078125,80,0
422715690108,13,21460.48,24101.769846153846,,0.0625,82,0
422715690364,13,21460.48,24101.769846153846,,0.1328125,86,0
422715690620,14,21460.48,24101.769846153846,,0.10546875,86,0
422715690876,14,23638.399999999998,26547.74153846154,,0.109375,86,0
422715691132,14,23638.399999999998,26547.74153846154,,0.1171875,85,0
422715691388,13,23638.399999999998,26547.74153846154,,0.1796875,86,0
422715691644,13,23638.399999999998,26547.74153846154,,0.09765625,88,0
422715691900,13,23638.399999999998,26547.74153846154,,0.2734375,90,0
422715692156,13,25710.079999999998,28874.39753846154,,0.10546875,93,0
422715692412,13,25710.079999999998,28874.39753846154,,0.078125,94,0
422715692668,13,25710.079999999998,28874.39753846154,,0.05859375,96,0
422715692924,13,25710.079999999998,28874.39753846154,,0.03515625,98,0
422715693180,13,25710.079999999998,28874.39753846154,,0.05078125,99,0
422715693436,13,25683.52,28844.568615384615,,0.09375,101,0
422715693692,13,25683.52,28844.568615384615,,0.08984375,104,0
422715693948,12,25683.52,28844.568615384615,,0.14453125,104,0
422715694204,12,25683.52,28844.568615384615,,0.12890625,104,0
422715694460,12,25683.52,28844.568615384615,,0.1015625,104,0
422715694716,12,26121.76,29336.745846153844,,0.03125,104,0
422715694972,12,26121.76,29336.745846153844,,0.0,104,0
422715695228,12,26121.76,29336.745846153844,,0.0,103,0
422715695484,13,25723.359999999997,28889.311999999998,,0.01953125,102,0
422715695740,13,25723.359999999997,28889.311999999998,,0.05078125,101,0
422715695996,13,25723.359999999997,28889.311999999998,,0.078125,100,0
422715696252,13,25723.359999999997,28889.311999999998,,0.12109375,100,0
422715696508,13,25723.359999999997,28889.311999999998,,0.1015625,100,0
422715696764,13,25723.359999999997,28889.311999999998,,0.0234375,100,0
422715697020,13,25723.359999999997,28889.311999999998,,0.0,99,0
422715697276,13,25723.359999999997,28889.311999999998,,0.0,99,0
422715697532,13,25723.359999999997,28889.311999999998,,0.0,99,0
422715697788,13,25723.359999999997,28889.311999999998,,0.0,96,0
422715698044,13,25723.359999999997,28889.311999999998,,0.0,94,0
422715698300,13,25723.359999999997,28889.311999999998,,0.0234375,93,0
422715698556,13,25723.359999999997,28889.311999999998,,0.05859375,92,0
422715698812,13,25723.359999999997,28889.311999999998,,0.12890625,92,0
422715699068,12,23957.12,26905.688615384614,,0.140625,92,0
422715699324,11,23957.12,26905.688615384614,,0.15625,92,0
422715699580,10,23957.12,26905.688615384614,,0.1171875,92,0
422715699836,10,23957.12,26905.688615384614,,0.12109375,91,0
422715700092,10,23957.12,26905.688615384614,,0.1171875,90,0
422715700348,10,23957.12,26905.688615384614,,0.09375,88,0
422715700604,10,21128.48,23728.908307692305,,0.046875,88,0
422715700860,10,21128.48,23728.908307692305,,0.015625,88,0
422715701116,10,21128.48,23728.908307692305,,0.0,88,0
422715701372,10,19202.879999999997,21566.311384615383,,0.03515625,88,0
