time [s/256],breathing_rate [rpm](/api/datatype/33/),minute_ventilation [mL/min](/api/datatype/36/),minute_ventilation_adjusted [mL/min](/api/datatype/38/),sleep_position [NA](/api/datatype/270/),activity [g](/api/datatype/49/),heart_rate [bpm](/api/datatype/19/),cadence [spm](/api/datatype/53/)
422053322280.0,,,,nan,,,
422053322536,10,0.0,0.0,5.0,0.0,70,0
422053322792,10,0.0,0.0,,0.0,70,0
422053323048,10,0.0,0.0,,0.0,70,0
422053323304,10,0.0,0.0,,0.47265625,70,0
422053323560,10,0.0,0.0,,0.546875,70,0
422053323816,10,0.0,0.0,,0.09765625,70,0
422053324072,12,17981.12,20194.18092307692,,0.12890625,70,0
422053324328,17,17981.12,20194.18092307692,,0.04296875,70,0
422053324584,21,17981.12,20194.18092307692,,0.17578125,70,0
422053324840,22,17981.12,20194.18092307692,,0.5,122,0
422053325096,21,30451.039999999997,34198.8603076923,,0.30859375,127,0
422053325352,19,30451.039999999997,34198.8603076923,,0.11328125,127,0
422053325608,18,30451.039999999997,34198.8603076923,,0.09375,129,0
422053325864,17,31300.96,35153.38584615385,,0.078125,129,0
422053326120,17,31300.96,35153.38584615385,,0.04296875,132,0
422053326376,17,31300.96,35153.38584615385,,0.015625,132,0
422053326632,18,31300.96,35153.38584615385,,0.0234375,132,0
422053326888,18,31300.96,35153.38584615385,,0.01953125,132,0
422053327144,18,31300.96,35153.38584615385,,0.015625,132,0
422053327400,17,23744.64,26667.057230769235,,0.02734375,132,0
422053327656,16,23744.64,26667.057230769235,,0.03515625,132,0
422053327912,15,23744.64,26667.057230769235,,0.05078125,135,0
422053328168,15,22190.879999999997,24922.06523076923,,0.015625,135,0
422053328424,15,22190.879999999997,24922.06523076923,,0.015625,130,0
422053328680,15,22190.879999999997,24922.06523076923,,0.015625,120,0
422053328936,16,21181.6,23788.566153846154,,0.078125,120,0
422053329192,16,20384.8,22893.69846153846,,0.0859375,115,0
422053329448,17,20384.8,22893.69846153846,,0.07421875,84,0
422053329704,18,20384.8,22893.69846153846,,0.03125,84,0
422053329960,18,20384.8,22893.69846153846,,0.0,85,0
422053330216,18,20384.8,22893.69846153846,,0.0,79,0
422053330472,18,19601.28,22013.745230769233,,0.0,73,0
422053330728,17,19601.28,22013.745230769233,,0.01953125,73,0
422053330984,17,19601.28,22013.745230769233,,0.0,74,0
422053331240,17,19601.28,22013.745230769233,,0.0,75,0
422053331496,17,14183.039999999999,15928.644923076925,,0.0,75,0
422053331752,17,14183.039999999999,15928.644923076925,,0.0,74,0
422053332008,17,11341.119999999999,12736.950153846155,,0.015625,74,0
422053332264,17,11341.119999999999,12736.950153846155,,0.03125,74,0
422053332520,18,12855.039999999999,14437.19876923077,,0.0390625,75,0
422053332776,19,12855.039999999999,14437.19876923077,,0.015625,74,0
422053333032,20,12855.039999999999,14437.19876923077,,0.0,74,0
422053333288,21,13864.32,15570.697846153846,,0.0234375,75,0
422053333544,21,13864.32,15570.697846153846,,0.01953125,73,0
422053333800,21,13864.32,15570.697846153846,,0.015625,76,0
422053334056,21,13864.32,15570.697846153846,,0.0,76,0
422053334312,21,13864.32,15570.697846153846,,0.015625,76,0
