Sensor,Timestamp,DateTime,Date,Time,TimeNumeric,Seconds,Period,Temperature (°C),Humidity (%RH),Pressure (hPa),NO2 (ppm),NO2 (µg/m3),CO (ppm),CO (mg/m3),O3 (ppm),O3 (µg/m3),NO (ppm),NO (µg/m3),PM1 (µg/m3),PM2.5 (µg/m3),PM10 (µg/m3),UPT (s)
AQT530_T3810933,1651230050,2022-04-29T13:00:50,2022-04-29,13:00:50,13.0,0,Day,19.5,42.3,1011.3,1.805,3.4516301851119517,,,1.3130000000000002,2.6193937219055194,-0.0,-0.0,0.0,0.0,0.0,62
AQT530_T3810933,1651230110,2022-04-29T13:01:50,2022-04-29,13:01:50,13.016666666666667,60,Day,19.5,41.0,1011.1,3.282,6.274797746959135,,,0.001,0.001994574026537951,,,3.8,7.6,18.1,122
AQT530_T3810933,1651230170,2022-04-29T13:02:50,2022-04-29,13:02:50,13.033333333333333,120,Day,19.5,38.5,1011.1,4.4910000000000005,8.586263461789603,,,,,,,3.8,7.6,18.1,182
AQT530_T3810933,1651230230,2022-04-29T13:03:50,2022-04-29,13:03:50,13.05,180,Day,19.5,39.0,1011.0,5.461,10.439756687243692,,,,,,,3.8,7.6,18.1,242
AQT530_T3810933,1651230290,2022-04-29T13:04:50,2022-04-29,13:04:50,13.066666666666666,240,Day,19.6,40.1,1010.9,6.225,11.89504862909703,,,,,,,3.8,7.6,18.1,302
AQT530_T3810933,1651230350,2022-04-29T13:05:50,2022-04-29,13:05:50,13.083333333333334,300,Day,19.5,40.0,1010.9,6.816,13.02881217058751,,,-0.0,-0.0,,,3.8,7.6,18.1,362
AQT530_T3810933,1651230410,2022-04-29T13:06:50,2022-04-29,13:06:50,13.1,360,Day,19.4,40.4,1010.9,7.257999999999999,13.878439330994654,,,0.001,0.001994861145320355,,,3.8,7.6,18.1,422
AQT530_T3810933,1651230470,2022-04-29T13:07:50,2022-04-29,13:07:50,13.116666666666667,420,Day,19.5,40.9,1010.9,6.3389999999999995,12.117024699142346,,,-0.0,-0.0,,,3.8,7.6,18.1,482
AQT530_T3810933,1651230530,2022-04-29T13:08:50,2022-04-29,13:08:50,13.133333333333333,480,Day,19.6,41.1,1010.8,4.58,8.750832695769377,,,-0.0,-0.0,,,3.8,7.6,18.1,542
AQT530_T3810933,1651230590,2022-04-29T13:09:50,2022-04-29,13:09:50,13.15,540,Day,19.8,43.5,1010.8,3.195,6.100397953089988,,,0.001,0.001991940254862738,,,3.8,7.6,18.1,602
AQT530_T3810933,1651230650,2022-04-29T13:10:50,2022-04-29,13:10:50,13.166666666666666,600,Day,20.1,39.7,1010.7,2.075,3.957472623561078,,,,,,,3.8,7.6,18.1,661
AQT530_T3810933,1651230710,2022-04-29T13:11:50,2022-04-29,13:11:50,13.183333333333334,660,Day,20.2,39.9,1010.7,1.157,2.205896366758231,,,0.978,1.9452687287570307,0.139,0.17285434821169457,5.8,9.8,17.7,721
AQT530_T3810933,1651230770,2022-04-29T13:12:50,2022-04-29,13:12:50,13.2,720,Day,20.2,42.2,1010.7,0.405,0.772159056643979,,,1.841,3.6617993145620593,0.38,0.4725514555427622,5.8,9.8,17.7,781
AQT530_T3810933,1651230830,2022-04-29T13:13:50,2022-04-29,13:13:50,13.216666666666667,780,Day,20.4,42.6,1010.7,,,,,2.4530000000000003,4.875759847692975,0.5710000000000001,0.7095869579741726,5.8,9.8,17.7,841
AQT530_T3810933,1651230890,2022-04-29T13:14:50,2022-04-29,13:14:50,13.233333333333333,840,Day,20.5,41.4,1010.7,,,,,2.5860000000000003,5.138369823040808,0.7190000000000001,0.893203644318912,5.8,9.8,17.7,901
AQT530_T3810933,1651230950,2022-04-29T13:15:50,2022-04-29,13:15:50,13.25,900,Day,20.6,40.1,1010.7,,,,,2.191,4.352024638188912,0.831,1.0319882431423335,5.8,9.8,17.7,961
AQT530_T3810933,1651231010,2022-04-29T13:16:50,2022-04-29,13:16:50,13.266666666666667,960,Day,20.6,37.1,1010.7,,,,,1.85,3.6746899044497887,0.912,1.1325791549287703,5.8,9.8,17.7,1021
AQT530_T3810933,1651231070,2022-04-29T13:17:50,2022-04-29,13:17:50,13.283333333333333,1020,Day,20.8,38.3,1010.7,-0.0,-0.0,,,1.541,3.0588347635604607,0.9740000000000001,1.208751687781659,5.8,9.8,17.7,1081
AQT530_T3810933,1651231130,2022-04-29T13:18:50,2022-04-29,13:18:50,13.3,1080,Day,20.9,36.5,1010.7,,,,,1.262,2.5041769531810503,1.013,1.2567238662128208,5.8,9.8,17.7,1141
