Sensor,Timestamp,DateTime,Date,Time,TimeNumeric,Seconds,Period,Temperature (°C),Humidity (%RH),Pressure (hPa),NO2 (ppm),NO2 (µg/m3),CO (ppm),CO (mg/m3),O3 (ppm),O3 (µg/m3),NO (ppm),NO (µg/m3),PM1 (µg/m3),PM2.5 (µg/m3),PM10 (µg/m3),UPT (s)
AQT530_T3810936,1651230115,2022-04-29T13:01:55,2022-04-29,13:01:55,13.016666666666667,0,Day,19.4,43.8,1011.8,1.518,2.9052393475899687,,,1.237,2.469840169111744,,,0.0,0.0,0.0,61
AQT530_T3810936,1651230175,2022-04-29T13:02:55,2022-04-29,13:02:55,13.033333333333333,60,Day,19.4,43.5,1011.7,2.7560000000000002,5.274076611250006,,,0.299,0.5969355081565539,,,0.0,0.0,0.0,121
AQT530_T3810936,1651230235,2022-04-29T13:03:55,2022-04-29,13:03:55,13.05,120,Day,19.5,38.4,1011.7,3.7689999999999997,7.2101604990745205,,,0.0,0.0,,,0.0,0.0,0.0,181
AQT530_T3810936,1651230295,2022-04-29T13:04:55,2022-04-29,13:04:55,13.066666666666666,180,Day,19.6,38.5,1011.6,4.581,8.759670736923244,,,,,,,0.0,0.0,0.0,241
AQT530_T3810936,1651230355,2022-04-29T13:05:55,2022-04-29,13:05:55,13.083333333333334,240,Day,19.8,39.6,1011.6,5.224,9.982379119983872,,,,,,,0.0,0.0,0.0,302
AQT530_T3810936,1651230415,2022-04-29T13:06:55,2022-04-29,13:06:55,13.1,300,Day,19.8,39.8,1011.6,5.72,10.930170093091068,,,0.0,0.0,,,0.0,0.0,0.0,362
AQT530_T3810936,1651230475,2022-04-29T13:07:55,2022-04-29,13:07:55,13.116666666666667,360,Day,19.8,39.4,1011.6,6.0889999999999995,11.635280716229286,,,,,,,0.0,0.0,0.0,422
AQT530_T3810936,1651230535,2022-04-29T13:08:55,2022-04-29,13:08:55,13.133333333333333,420,Day,19.8,43.2,1011.6,6.349,12.132106629551608,,,,,,,0.0,0.0,0.0,482
AQT530_T3810936,1651230595,2022-04-29T13:09:55,2022-04-29,13:09:55,13.15,480,Day,19.9,40.5,1011.6,6.52,12.454613764081826,,,,,-0.0,-0.0,0.0,0.0,0.0,542
AQT530_T3810936,1651230655,2022-04-29T13:10:55,2022-04-29,13:10:55,13.166666666666666,540,Day,20.0,42.5,1011.5,4.6610000000000005,8.899603636291816,,,,,,,0.0,0.0,0.0,601
AQT530_T3810936,1651230715,2022-04-29T13:11:55,2022-04-29,13:11:55,13.183333333333334,600,Day,20.3,38.8,1011.5,3.248,6.195314631793379,,,0.0,0.0,0.0,0.0,2.7,6.7,14.2,661
AQT530_T3810936,1651230775,2022-04-29T13:12:55,2022-04-29,13:12:55,13.2,660,Day,20.3,39.3,1011.5,2.103,4.011313630129766,,,,,0.019,0.023638216699399434,2.7,6.7,14.2,721
AQT530_T3810936,1651230835,2022-04-29T13:13:55,2022-04-29,13:13:55,13.216666666666667,720,Day,20.3,41.6,1011.6,1.169,2.229999631424405,,,0.595,1.1841214544887495,0.21899999999999997,0.2724884867638801,2.7,6.7,14.2,781
AQT530_T3810936,1651230895,2022-04-29T13:14:55,2022-04-29,13:14:55,13.233333333333333,780,Day,20.4,42.4,1011.5,0.408,0.777964068303401,,,1.6969999999999998,3.3757495785081795,0.379,0.471359590435825,2.7,6.7,14.2,841
