Sensor,DateTime,Timestamp,Period,Temperature (°C),Humidity (%RH),Pressure (hPa),NO2 (ppm),NO2 (µg/m3),CO (ppm),CO (mg/m3),O3 (ppm),O3 (µg/m3),NO (ppm),NO (µg/m3),PM1 (µg/m3),PM2.5 (µg/m3),PM10 (µg/m3),UPT (s)
AQT530_T3810936,2021-11-11T11:25:32,1636626332,Day,9.1,78.9,995.9,0.0,0.0,,,0.017,0.034628627647229654,0.005,0.0063676784049838345,3.4,10.9,14.8,661
AQT530_T3810936,2021-11-11T11:35:32,1636626932,Day,9.4,76.8,995.7,0.016,0.031201017094539325,,,,,0.22,0.2798241619506188,3.4,11.3,15.5,1261
AQT530_T3810936,2021-11-11T11:45:32,1636627532,Day,9.2,76.1,995.6,0.02,0.039024977811841735,,,0.0,0.0,0.172,0.21890459516511596,3.0,11.8,15.2,1860
AQT530_T3810936,2021-11-11T11:55:32,1636628132,Day,9.9,67.5,995.5,0.017,0.03308587310891717,0.279,0.0003305664373637889,,,0.1,0.12694261503235924,2.6,10.4,13.9,2460
AQT530_T3810936,2021-11-11T12:05:32,1636628732,Day,10.2,65.6,995.4,0.011,0.021383691381510236,0.531,0.0006284133308204345,,,0.059,0.07480933023095417,2.9,10.3,13.3,3060
AQT530_T3810936,2021-11-11T12:15:32,1636629332,Day,11.1,68.0,995.3,0.01,0.019376222102834167,0.506,0.0005968710246398497,-0.0,-0.0,0.034,0.04296964672985398,1.9,6.3,8.3,3659
AQT530_T3810936,2021-11-11T12:25:32,1636629932,Day,12.1,65.4,995.2,0.01,0.01930635499659444,0.476,0.0005594588081816878,0.0,0.0,0.021,0.026444377271036268,2.4,6.9,9.6,4259
AQT530_T3810936,2021-11-11T12:35:32,1636630532,Day,13.1,62.3,995.2,0.011,0.021162800136441645,0.647,0.0007577842970671586,0.0,0.0,0.012,0.01505828295259008,1.6,4.5,6.1,4858
AQT530_T3810936,2021-11-11T12:45:32,1636631132,Day,12.9,62.7,995.0,0.008,0.015398793281942234,0.508,0.0005952799975880749,,,0.011,0.013810301158177432,0.9,2.8,3.5,5458
AQT530_T3810936,2021-11-11T12:55:32,1636631732,Day,12.8,66.7,995.0,0.004,0.0077020892084273046,0.43,0.0005040549502991794,,,0.005,0.00627960489961159,0.7,2.4,3.0,6057
AQT530_T3810936,2021-11-11T13:05:32,1636632332,Day,12.6,66.9,994.9,0.004,0.007706705375919399,0.407,0.00047737981283882565,,,0.003,0.0037700211095089307,1.7,4.4,5.5,6657
