Sensor,DateTime,Timestamp,Period,Temperature (°C),Humidity (%RH),Pressure (hPa),NO2 (ppm),NO2 (µg/m3),CO (ppm),CO (mg/m3),O3 (ppm),O3 (µg/m3),NO (ppm),NO (µg/m3),PM1 (µg/m3),PM2.5 (µg/m3),PM10 (µg/m3),UPT (s)
AQT530_T3810936,2021-11-11T13:15:32,1636632932,Day,12.4,70.4,994.9,0.004,0.007712103173416105,0.388,0.00045541301801948185,,,0.002,0.0025151077617280738,2.1,5.1,6.5,7257
AQT530_T3810936,2021-11-11T13:25:32,1636633532,Day,12.3,67.0,995.0,-0.0,-0.0,0.355,0.0004168673056292828,0.001,0.0020123226282570683,,,2.9,6.0,8.3,7856
AQT530_T3810936,2021-11-11T13:35:32,1636634132,Day,12.4,66.5,994.9,0.001,0.0019280257933540262,0.317,0.00037207713070148377,0.002,0.004022831474939937,,,2.5,5.4,6.7,8456
AQT530_T3810936,2021-11-11T13:45:32,1636634732,Day,12.9,65.3,994.8,0.004,0.007697849023555846,0.298,0.00034912949273331985,-0.0,-0.0,-0.0,-0.0,2.3,5.3,7.1,9055
AQT530_T3810936,2021-11-11T13:55:32,1636635332,Day,13.1,65.7,994.8,0.006,0.01153870592063659,0.291,0.00034069026108663326,,,0.001,0.0012543525490049414,2.1,5.2,8.1,9655
AQT530_T3810936,2021-11-11T14:05:32,1636635932,Day,13.2,66.2,994.9,0.006,0.011535835836401092,0.298,0.00034879877928610883,0.0,0.0,0.001,0.0012540405471650976,2.2,5.3,7.4,10254
AQT530_T3810936,2021-11-11T14:15:32,1636636532,Day,12.7,68.8,994.8,0.005,0.009629043699440922,0.29,0.0003399946058082532,0.0,0.0,0.002,0.0025122156176502677,2.7,6.0,7.8,10854
AQT530_T3810936,2021-11-11T14:25:32,1636637132,Day,12.7,69.2,994.6,0.004,0.007701686259319613,0.28,0.0003282046565670065,,,0.002,0.0025117105481654166,2.4,5.2,6.4,11453
AQT530_T3810936,2021-11-11T14:35:32,1636637732,Day,13.2,66.0,994.6,0.005,0.00961029778778816,0.303,0.0003545441670675581,0.0,0.0,0.001,0.0012536624064834717,2.4,5.0,8.5,12053
AQT530_T3810936,2021-11-11T14:45:32,1636638332,Day,13.0,67.4,994.5,0.005,0.00961604783000914,0.281,0.0003289984152180581,,,0.001,0.001254412498928817,2.1,4.9,7.1,12653
AQT530_T3810936,2021-11-11T14:55:32,1636638932,Day,13.3,64.6,994.3,0.005,0.00960404509200582,0.274,0.00032040229962799723,,,0.001,0.0012528467429302097,2.5,5.4,7.8,13252
AQT530_T3810936,2021-11-11T15:05:32,1636639532,Day,12.6,65.2,994.2,0.002,0.0038506415140913994,0.251,0.00029419662759437874,0.001,0.002008593704372823,0.002,0.0025115790445095175,1.9,4.6,6.3,13852
AQT530_T3810936,2021-11-11T15:15:32,1636640132,Day,13.1,63.4,994.0,0.004,0.007686284469315621,0.24,0.0002807556983075817,0.001,0.0020046818872372844,0.001,0.0012533438215831438,1.7,4.4,5.8,14451
AQT530_T3810936,2021-11-11T15:25:32,1636640732,Day,13.2,63.7,994.0,0.004,0.00768360024215679,0.239,0.0002794882450830907,0.001,0.0020039818062569333,0.002,0.00250581225024044,1.6,4.4,6.9,15051
AQT530_T3810936,2021-11-11T15:35:56,1636641356,Day,12.9,65.5,993.9,0.001,0.0019227211862967819,0.101,0.00011822207049001216,0.011,0.022064698682127817,0.002,0.00250818790701006,2.0,4.7,6.2,422
AQT530_T3810936,2021-11-11T15:45:56,1636641956,Day,12.8,65.1,993.9,,,0.174,0.00020374093123246383,0.01,0.020065831782487914,0.007,0.00878172767197341,1.9,4.9,7.4,1022
AQT530_T3810936,2021-11-11T15:55:56,1636642556,Day,12.9,65.3,993.9,,,0.204,0.0002387851720788364,0.006,0.012035290190251536,0.006,0.007524563721030179,1.8,4.4,5.6,1621
AQT530_T3810936,2021-11-11T16:05:56,1636643156,Day,12.7,66.7,993.8,,,0.209,0.0002447842838058546,0.001,0.002007083188451325,0.004,0.005019380540452023,2.1,4.7,6.3,2221
AQT530_T3810936,2021-11-11T16:15:56,1636643756,Day,12.6,67.9,993.8,0.0,0.0,0.218,0.0002554145864889586,-0.0,-0.0,0.003,0.003765852828053046,2.3,4.9,6.9,2820
AQT530_T3810936,2021-11-11T16:25:56,1636644356,Day,12.5,69.3,993.8,0.0,0.0,0.232,0.00027191251558411004,,,0.003,0.0037671711731705163,2.3,4.9,6.8,3420
AQT530_T3810936,2021-11-11T16:35:56,1636644956,Night,12.4,68.9,993.7,0.0,0.0,0.244,0.0002860483193810444,,,0.004,0.00502414832210109,4.8,7.9,11.7,4019
AQT530_T3810936,2021-11-11T16:45:56,1636645556,Night,12.0,70.4,993.7,-0.0,-0.0,0.228,0.00026766600053222846,,,0.003,0.0037733970367595107,2.7,5.5,6.9,4619
AQT530_T3810936,2021-11-11T16:55:56,1636646156,Night,11.4,73.4,993.7,-0.0,-0.0,0.207,0.0002435249675652129,,,0.004,0.005041804791340594,2.1,4.8,7.2,5219
AQT530_T3810936,2021-11-11T17:05:56,1636646756,Night,10.9,76.5,993.8,,,0.2,0.00023572771329902166,,,0.006,0.007576781873727569,2.4,5.6,8.4,5818
AQT530_T3810936,2021-11-11T17:15:56,1636647356,Night,10.5,78.0,993.7,,,0.197,0.00023249583484399313,,,0.006,0.007586703085013041,2.7,5.4,7.0,6418
AQT530_T3810936,2021-11-11T17:25:56,1636647956,Night,9.9,80.9,993.8,,,0.383,0.0004530134078196584,,,0.013,0.016474358821185954,1.6,4.6,8.8,7017
AQT530_T3810936,2021-11-11T17:35:56,1636648556,Night,9.9,80.2,993.6,,,0.244,0.00028854576118762825,,,0.009,0.01140303004184198,2.0,4.7,7.1,7617
AQT530_T3810936,2021-11-11T17:45:56,1636649156,Night,10.0,78.9,993.6,,,0.19,0.00022460792031956148,,,0.005,0.006332779353980757,1.9,4.5,6.9,8216
AQT530_T3810936,2021-11-11T17:55:56,1636649756,Night,9.8,78.7,993.5,,,0.169,0.0001999039274408528,,,0.004,0.005069294239800235,2.7,6.1,7.5,8816
AQT530_T3810936,2021-11-11T18:05:56,1636650356,Night,9.7,78.6,993.4,,,0.164,0.00019403866119575416,,,0.004,0.005070576033371864,1.7,4.0,5.5,9416
AQT530_T3810936,2021-11-11T18:15:56,1636650956,Night,9.6,78.0,993.4,,,0.16,0.00018937296265068786,,,0.005,0.006340461675681836,1.8,4.2,6.1,10015
AQT530_T3810936,2021-11-11T18:25:56,1636651556,Night,9.3,78.5,993.4,,,0.162,0.00019194377856027802,,,0.006,0.007616635321504151,1.7,4.1,6.3,10615
AQT530_T3810936,2021-11-11T18:35:56,1636652156,Night,9.4,78.5,993.4,,,0.162,0.00019187584588338538,,,0.006,0.0076139396445190155,1.8,4.2,5.3,11214
AQT530_T3810936,2021-11-11T18:45:56,1636652756,Night,9.5,78.3,993.5,,,0.163,0.00019301138845291248,-0.0,-0.0,0.006,0.0076120120563496,1.9,4.5,6.7,11814
AQT530_T3810936,2021-11-11T18:55:56,1636653356,Night,9.3,79.4,993.6,,,0.16,0.0001896122690025698,-0.0,-0.0,0.007,0.008887863564211408,2.0,4.3,6.2,12413
AQT530_T3810936,2021-11-11T19:05:56,1636653956,Night,9.0,80.9,993.5,,,0.157,0.00018623612129378748,,,0.007,0.00889641824921171,2.0,4.4,7.1,13013
AQT530_T3810936,2021-11-11T19:15:56,1636654556,Night,9.0,80.0,993.5,,,0.155,0.0001838636866276246,,,0.007,0.00889641824921171,2.2,5.0,7.6,13613
AQT530_T3810936,2021-11-11T19:25:56,1636655156,Night,9.1,78.8,993.6,,,0.161,0.00019093254309441787,,,0.006,0.007623566940285498,3.3,6.5,10.8,14212
AQT530_T3810936,2021-11-11T19:35:56,1636655756,Night,8.8,79.9,993.8,,,0.161,0.00019117417221096867,,,0.008,0.010177619631056645,2.7,5.6,9.4,14812
AQT530_T3810936,2021-11-11T19:45:56,1636656356,Night,8.6,79.8,993.7,-0.0,-0.0,0.161,0.00019129062669615273,,,0.008,0.010183819367353795,2.3,5.2,7.8,15411
AQT530_T3810936,2021-11-11T19:55:56,1636656956,Night,8.8,79.0,993.7,,,0.156,0.00018521844684536154,,,0.008,0.010176595519602524,1.9,4.7,7.5,16011
AQT530_T3810936,2021-11-11T20:05:56,1636657556,Night,8.7,79.8,993.8,,,0.155,0.00018411496947314175,-0.0,-0.0,0.007,0.008908576807182433,2.2,5.2,7.2,16610
AQT530_T3810936,2021-11-11T20:15:56,1636658156,Night,8.5,80.6,993.8,,,0.154,0.00018305702773368387,-0.0,-0.0,0.007,0.008914902798169248,2.2,5.3,7.9,17210
AQT530_T3810936,2021-11-11T20:25:56,1636658756,Night,8.4,81.1,993.7,,,0.155,0.00018429260341442527,,,0.007,0.008917171793315365,2.5,5.9,8.6,17810
AQT530_T3810936,2021-11-11T20:35:56,1636659356,Night,8.2,82.1,993.7,,,0.157,0.00018680326882803615,,,0.009,0.011473085107858265,2.4,5.8,8.8,18409
AQT530_T3810936,2021-11-11T20:45:56,1636659956,Night,7.9,83.2,993.7,,,0.156,0.00018581156765006118,,,0.009,0.011485331774047048,2.5,6.1,8.7,19009
AQT530_T3810936,2021-11-11T20:55:56,1636660556,Night,7.9,83.6,993.5,,,0.154,0.0001833924496048936,0.001,0.0020407455549351326,0.009,0.011483020144425624,2.9,6.8,8.9,19608
AQT530_T3810936,2021-11-11T21:05:56,1636661156,Night,8.0,82.6,993.4,,,0.159,0.00018926035090538056,0.001,0.002039814361775167,0.009,0.011477780436913644,3.4,7.6,9.1,20208
AQT530_T3810936,2021-11-11T21:15:56,1636661756,Night,7.8,83.6,993.4,,,0.159,0.00018939507975457463,,,0.009,0.011485951129518673,3.6,7.9,10.7,20807
AQT530_T3810936,2021-11-11T21:25:56,1636662356,Night,7.8,83.6,993.4,,,0.156,0.00018582158768373357,0.001,0.0020412664453215456,0.009,0.011485951129518673,3.2,7.4,10.8,21407
AQT530_T3810936,2021-11-11T21:35:56,1636662956,Night,7.6,84.1,993.4,,,0.158,0.00018833798797725194,0.0,0.0,0.009,0.011494133463359825,3.1,7.4,10.6,22006
AQT530_T3810936,2021-11-11T21:45:56,1636663556,Night,7.6,84.2,993.3,,,0.156,0.0001859352438716891,0.001,0.002042514968518815,0.009,0.011492976413484308,3.7,8.1,11.0,22606
AQT530_T3810936,2021-11-11T21:55:56,1636664156,Night,7.5,84.4,993.3,,,0.157,0.00018719381279642367,0.0,0.0,0.009,0.011497071541370817,3.4,8.0,9.7,23206
AQT530_T3810936,2021-11-11T22:05:56,1636664756,Night,7.4,84.4,993.3,,,0.157,0.00018726053666482377,0.0,0.0,0.009,0.011501169588614222,3.8,8.5,10.8,23805
AQT530_T3810936,2021-11-11T22:15:56,1636665356,Night,7.7,82.1,993.2,,,0.157,0.00018704167537993022,0.001,0.002041582150650621,0.009,0.011487727563942212,3.4,8.1,11.3,24405
AQT530_T3810936,2021-11-11T22:25:56,1636665956,Night,7.6,81.8,993.2,,,0.156,0.00018591652493039527,,,0.008,0.010214950545430042,3.6,8.5,11.8,25004
AQT530_T3810936,2021-11-11T22:35:56,1636666556,Night,7.6,80.5,993.1,,,0.159,0.00018947276379658413,0.0,0.0,0.009,0.01149066231373328,3.6,8.4,10.7,25604
AQT530_T3810936,2021-11-11T22:45:56,1636667156,Night,7.5,80.1,993.0,0.0,0.0,0.156,0.00018594531868402627,,,0.009,0.011493599154919182,3.5,8.3,11.5,26203
AQT530_T3810936,2021-11-11T22:55:56,1636667756,Night,7.4,80.1,992.8,-0.0,-0.0,0.156,0.000185974132964304,,,0.009,0.011495380215016813,3.3,8.0,10.5,26803
AQT530_T3810936,2021-11-11T23:05:56,1636668356,Night,7.4,79.5,992.7,,,0.159,0.0001895314660762146,,,0.009,0.011494222340297334,3.4,7.9,10.2,27403
AQT530_T3810936,2021-11-11T23:15:56,1636668956,Night,7.3,80.8,992.7,,,0.154,0.00018363681308191862,,,0.009,0.011498320832841566,3.5,8.0,11.0,28002
AQT530_T3810936,2021-11-11T23:25:56,1636669556,Night,7.4,78.6,992.6,,,0.158,0.0001883204718337296,,,0.007,0.008939050139893883,3.6,8.1,10.4,28602
AQT530_T3810936,2021-11-11T23:35:56,1636670156,Night,7.4,78.0,992.4,,,0.157,0.00018709086538424557,,,0.008,0.01021399885879012,2.9,7.7,10.1,29201
AQT530_T3810936,2021-11-11T23:45:56,1636670756,Night,7.4,77.7,992.3,,,0.157,0.0001870720130197369,,,0.008,0.010212969636817249,3.5,8.0,11.4,29801
AQT530_T3810936,2021-11-11T23:55:56,1636671356,Night,7.2,79.8,992.3,-0.0,-0.0,0.159,0.00018959025211154988,,,0.009,0.01149778744626436,3.2,7.7,10.2,30400
AQT530_T3810936,2021-11-12T00:05:56,1636671956,Night,7.0,81.0,992.4,,,0.156,0.00018616463191883817,,,0.008,0.010228582473080738,3.6,8.4,11.2,31000
AQT530_T3810936,2021-11-12T00:15:56,1636672556,Night,7.3,78.5,992.5,,,0.157,0.00018717643542311645,,,0.007,0.008941336644859335,3.3,8.0,10.5,31600
AQT530_T3810936,2021-11-12T00:25:56,1636673156,Night,7.3,78.7,992.3,,,0.16,0.00019071461630545877,,,0.008,0.010216611273343123,3.3,8.0,10.6,32199
AQT530_T3810936,2021-11-12T00:35:56,1636673756,Night,7.3,79.3,992.4,,,0.16,0.00019073383575686514,0.0,0.0,0.009,0.011494845970093651,3.4,8.1,10.7,32799
AQT530_T3810936,2021-11-12T00:45:56,1636674356,Night,6.8,81.6,992.3,,,0.159,0.0001898611437023504,,,0.009,0.011514215790534783,3.7,8.1,10.5,33398
AQT530_T3810936,2021-11-12T00:55:56,1636674956,Night,6.9,81.3,992.4,,,0.158,0.0001886186857169708,,,0.009,0.011511264246787231,3.7,8.4,11.7,33998
AQT530_T3810936,2021-11-12T01:05:56,1636675556,Night,6.8,82.3,992.3,,,0.159,0.0001898611437023504,,,0.01,0.012793573100594207,3.6,8.7,11.3,34597
AQT530_T3810936,2021-11-12T01:15:56,1636676156,Night,6.7,82.8,992.2,-0.0,-0.0,0.16,0.00019110424887517957,,,0.009,0.011517169443657901,4.0,9.0,13.1,35197
AQT530_T3810936,2021-11-12T01:25:56,1636676756,Night,6.7,83.0,992.1,0.001,0.0019617592618420897,0.158,0.000188696425864445,,,0.01,0.012795565191888961,4.1,9.5,13.3,35797
AQT530_T3810936,2021-11-12T01:35:56,1636677356,Night,6.8,82.7,992.0,0.002,0.003921721681952519,0.163,0.00019457868031702759,,,0.01,0.01278970524618508,3.6,8.7,11.6,36396
AQT530_T3810936,2021-11-12T01:45:56,1636677956,Night,6.8,83.0,992.0,0.001,0.0019608608409762596,0.165,0.0001969661487871752,,,0.01,0.01278970524618508,3.7,9.0,11.4,36996
AQT530_T3810936,2021-11-12T01:55:56,1636678556,Night,6.6,83.8,991.9,0.0,0.0,0.165,0.00019708709496818382,,,0.01,0.012797558707377664,4.2,9.0,11.9,37595
AQT530_T3810936,2021-11-12T02:05:56,1636679156,Night,6.6,84.1,991.9,0.0,0.0,0.164,0.00019589262772595246,,,0.009,0.011517802836639897,3.4,8.5,11.7,38195
AQT530_T3810936,2021-11-12T02:15:56,1636679756,Night,6.7,82.5,992.0,0.001,0.001961561523785256,0.164,0.00019584237074811792,,,0.01,0.012794275446380251,3.3,8.0,11.1,38794
AQT530_T3810936,2021-11-12T02:25:56,1636680356,Night,7.0,79.6,991.8,0.0,0.0,0.166,0.00019797849296679905,,,0.009,0.01150019811457241,3.9,8.7,11.7,39394
AQT530_T3810936,2021-11-12T02:35:56,1636680956,Night,6.6,81.6,991.7,-0.0,-0.0,0.162,0.0001934646764669677,,,0.009,0.01151548046486116,4.4,9.2,12.5,39993
AQT530_T3810936,2021-11-12T02:45:56,1636681556,Night,6.5,80.4,991.5,,,0.16,0.00019110600172247657,,,0.009,0.01151727508149404,3.5,8.1,11.4,40593
AQT530_T3810936,2021-11-12T02:55:56,1636682156,Night,6.5,81.2,991.4,,,0.155,0.0001851152670618243,,,0.009,0.01151611348037639,3.5,8.4,10.8,41193
AQT530_T3810936,2021-11-12T03:05:56,1636682756,Night,6.5,80.9,991.3,,,0.156,0.00018629076653535424,,,0.009,0.011514951879258741,3.6,8.3,10.5,41792
AQT530_T3810936,2021-11-12T03:15:56,1636683356,Night,6.4,81.3,990.9,,,0.156,0.000186282208873328,0.001,0.002046326409505704,0.008,0.010235042591544364,3.7,8.5,10.5,42392
AQT530_T3810936,2021-11-12T03:25:56,1636683956,Night,6.7,79.5,990.7,,,0.16,0.00019081533900487844,,,0.008,0.010222007003813642,4.3,8.9,11.8,42991
AQT530_T3810936,2021-11-12T03:35:56,1636684556,Night,6.4,80.9,990.8,-0.0,-0.0,0.159,0.00018984539822460833,,,0.009,0.011513260898844406,3.5,8.1,11.3,43591
AQT530_T3810936,2021-11-12T03:45:56,1636685156,Night,6.4,80.6,990.7,,,0.16,0.000191020113112199,,,0.009,0.011512098882201408,3.1,7.8,11.0,44190
AQT530_T3810936,2021-11-12T03:55:56,1636685756,Night,6.6,79.3,990.8,-0.0,-0.0,0.159,0.0001897096731856631,,,0.01,0.0127833664353965,3.2,7.8,9.7,44790
AQT530_T3810936,2021-11-12T04:05:56,1636686356,Night,6.5,79.8,990.7,,,0.159,0.00018975835747054177,,,0.01,0.01278664696950316,3.1,7.2,9.4,45390
AQT530_T3810936,2021-11-12T04:15:56,1636686956,Night,6.3,80.8,990.5,,,0.157,0.00018746770691413395,0.001,0.00204623233555769,0.009,0.011513893573141174,3.5,7.9,10.1,45989
AQT530_T3810936,2021-11-12T04:25:56,1636687556,Night,6.4,79.5,990.1,,,0.154,0.00018374550920326405,,,0.009,0.011505126782343408,3.2,7.6,10.2,46589
AQT530_T3810936,2021-11-12T04:35:56,1636688156,Night,6.6,79.4,990.0,-0.0,-0.0,0.152,0.0001812112416684985,,,0.009,0.011495740304741906,3.2,7.5,9.5,47188
AQT530_T3810936,2021-11-12T04:45:56,1636688756,Night,6.4,80.7,990.1,0.001,0.0019599055250309905,0.15,0.00017897289857460782,,,0.01,0.012783474202603786,3.4,7.6,10.8,47788
AQT530_T3810936,2021-11-12T04:55:56,1636689356,Night,6.5,80.9,990.2,0.002,0.003918805124388472,0.157,0.00018727689470611836,,,0.009,0.011502174266964597,3.2,7.6,9.9,48387
AQT530_T3810936,2021-11-12T05:05:56,1636689956,Night,6.4,81.3,990.2,0.0,0.0,0.16,0.00019092370647390684,,,0.009,0.011506288798986408,3.4,7.5,10.6,48987
AQT530_T3810936,2021-11-12T05:15:56,1636690556,Night,6.2,82.5,990.3,0.001,0.0019617048989182847,0.157,0.00018749694875757624,,,0.011,0.014074731670982719,3.2,7.7,9.9,49587
AQT530_T3810936,2021-11-12T05:25:56,1636691156,Night,5.9,84.3,990.2,,,0.155,0.00018528874602313656,,,0.011,0.014088440291991935,3.2,7.7,10.0,50186
AQT530_T3810936,2021-11-12T05:35:56,1636691756,Night,6.6,80.6,990.0,,,0.158,0.0001883643169975182,,,0.009,0.011495740304741906,3.8,8.6,12.0,50786
AQT530_T3810936,2021-11-12T05:45:56,1636692356,Night,6.6,80.6,990.0,-0.0,-0.0,0.154,0.0001835956001115051,-0.0,-0.0,0.009,0.011495740304741906,3.5,8.3,11.3,51385
AQT530_T3810936,2021-11-12T05:55:56,1636692956,Night,6.2,82.4,989.9,-0.0,-0.0,0.157,0.00018742121536415702,,,0.01,0.012790042394045693,3.7,8.2,11.4,51985
AQT530_T3810936,2021-11-12T06:05:56,1636693556,Night,6.4,81.9,990.0,0.001,0.0019597075747709125,0.158,0.00018849907952085755,,,0.009,0.011503964765700408,3.7,8.3,11.1,52584
AQT530_T3810936,2021-11-12T06:15:56,1636694156,Night,6.1,83.2,990.0,0.001,0.0019618129007241128,0.158,0.00018870158524639466,,,0.01,0.012795915051234652,3.7,8.5,10.6,53184
AQT530_T3810936,2021-11-12T06:25:56,1636694756,Night,5.8,84.5,989.7,0.0,0.0,0.156,0.00018645681081670514,,,0.01,0.01280579484572662,3.8,8.2,11.4,53784
AQT530_T3810936,2021-11-12T06:35:56,1636695356,Night,5.9,83.9,989.5,0.0,0.0,0.161,0.0001923251574108383,,,0.01,0.012798618891432422,3.6,8.4,10.1,54383
AQT530_T3810936,2021-11-12T06:45:56,1636695956,Night,5.6,85.9,989.3,,,0.159,0.0001901020088534727,,,0.012,0.015371764223539343,4.1,8.6,12.2,54983
AQT530_T3810936,2021-11-12T06:55:56,1636696556,Night,6.0,83.6,989.4,0.002,0.003922652556374564,0.16,0.00019104281348237612,,,0.011,0.014072015163929663,3.5,7.7,11.3,55582
AQT530_T3810936,2021-11-12T07:05:56,1636697156,Day,6.1,83.4,989.3,0.002,0.003920851520578515,0.168,0.0002005028535465758,,,0.011,0.014065554177984932,3.6,8.4,10.4,56182
AQT530_T3810936,2021-11-12T07:15:56,1636697756,Day,5.9,84.8,989.2,0.005,0.009808162633319665,0.171,0.0002042088878349817,,,0.021,0.02686895098084932,3.8,8.1,10.8,56781
AQT530_T3810936,2021-11-12T07:25:56,1636698356,Day,5.8,85.5,989.1,0.001,0.0019621373707487564,0.187,0.00022337362464950643,,,0.027,0.034554684794535856,3.9,8.3,11.2,57381
AQT530_T3810936,2021-11-12T07:35:56,1636698956,Day,6.2,84.5,988.9,0.004,0.00783572644467451,0.175,0.00020869795751023298,,,0.015,0.0191656827812988,4.0,8.3,11.9,57981
AQT530_T3810936,2021-11-12T07:45:56,1636699556,Day,6.3,84.3,988.8,0.003,0.005874097784055299,0.172,0.00020502614197057814,-0.0,-0.0,0.012,0.015325509628298156,3.9,8.4,11.7,58580
AQT530_T3810936,2021-11-12T07:55:56,1636700156,Day,6.2,84.2,988.9,0.002,0.003917863222337255,0.176,0.00020989051726743433,0.001,0.002043658277246123,0.012,0.015332546225039038,4.1,8.7,12.3,59180
AQT530_T3810936,2021-11-12T08:05:56,1636700756,Day,6.0,84.9,988.9,0.001,0.001960335108651105,0.179,0.00021362113810918985,,,0.011,0.014064903775631736,4.1,8.6,11.9,59779
AQT530_T3810936,2021-11-12T08:16:42,1636701402,Day,5.8,86.3,988.8,0.004,0.007846168970564636,,,0.0,0.0,0.005,0.006397074842606083,0.0,0.0,0.0,122
AQT530_T3810936,2021-11-12T08:26:42,1636702002,Day,6.0,85.3,988.8,,,0.107,0.00012768240432924603,0.006,0.012269494021435217,0.009,0.011506484861977218,3.9,8.6,13.3,721
AQT530_T3810936,2021-11-12T08:36:42,1636702602,Day,6.2,84.7,989.1,,,0.157,0.00018726974857731865,0.004,0.008176286386992176,0.007,0.00894579417351795,4.3,8.8,11.4,1321
AQT530_T3810936,2021-11-12T08:46:42,1636703202,Day,6.6,81.7,989.4,,,0.175,0.00020850492051230842,0.001,0.002041767977679564,0.003,0.0038295910631352334,4.0,8.2,11.7,1920
AQT530_T3810936,2021-11-12T08:56:42,1636703802,Day,6.6,82.1,989.3,,,0.187,0.00022277988183515895,,,0.004,0.005105605334896147,4.3,8.3,12.2,2520
AQT530_T3810936,2021-11-12T09:06:42,1636704402,Day,6.8,81.9,989.2,,,0.191,0.00022735968136994303,0.0,0.0,0.002,0.002550721054339976,4.3,8.7,12.5,3120
AQT530_T3810936,2021-11-12T09:16:42,1636705002,Day,7.0,81.3,989.3,-0.0,-0.0,0.198,0.0002355477832213716,0.0,0.0,0.002,0.002549157759124036,4.3,8.7,11.5,3719
AQT530_T3810936,2021-11-12T09:26:42,1636705602,Day,6.9,82.3,989.2,,,0.198,0.0002356080743678734,,,0.004,0.0050996204903586955,4.3,8.9,11.9,4319
AQT530_T3810936,2021-11-12T09:36:42,1636706202,Day,6.6,84.6,989.0,,,0.197,0.00023462207501328132,,,0.003,0.003828042815282743,5.0,9.9,13.5,4918
AQT530_T3810936,2021-11-12T09:46:42,1636706802,Day,6.6,84.6,989.1,-0.0,-0.0,0.193,0.00022988141648672377,,,0.002,0.002552286584830577,5.0,9.7,13.7,5518
AQT530_T3810936,2021-11-12T09:56:42,1636707402,Day,7.0,83.4,989.1,,,0.195,0.00023193197983540262,,,0.003,0.0038229636200590076,5.1,9.8,15.2,6117
AQT530_T3810936,2021-11-12T10:06:42,1636708002,Day,7.8,79.5,988.9,,,0.202,0.00023952517092431662,,,0.002,0.0025408713222783742,5.3,10.5,14.0,6717
AQT530_T3810936,2021-11-12T10:16:42,1636708602,Day,8.1,78.9,989.0,,,0.208,0.00024640161174728145,,,0.001,0.0012692088623115227,5.4,10.1,15.7,7317
AQT530_T3810936,2021-11-12T10:26:42,1636709202,Day,7.7,81.9,988.7,,,0.21,0.0002490496005583751,,,0.002,0.0025412619686019746,5.0,9.5,12.7,7916
AQT530_T3810936,2021-11-12T10:36:42,1636709802,Day,8.1,80.9,988.6,-0.0,-0.0,0.205,0.00024274952283551422,,,0.001,0.0012686955321346526,5.9,10.7,15.9,8516
AQT530_T3810936,2021-11-12T10:46:42,1636710402,Day,8.0,82.4,988.6,,,0.209,0.00024757412524648454,0.001,0.0020299582021853536,0.002,0.0025382935686492692,6.7,11.8,17.6,9115
AQT530_T3810936,2021-11-12T10:56:42,1636711002,Day,8.2,83.1,988.6,,,0.204,0.0002414795194369937,,,0.002,0.0025364892014421254,6.7,12.0,16.1,9715
