Sensor,Timestamp,DateTime,Date,Time,TimeNumeric,Seconds,Period,Temperature (°C),Humidity (%RH),Pressure (hPa),NO2 (ppm),NO2 (µg/m3),CO (ppm),CO (mg/m3),O3 (ppm),O3 (µg/m3),NO (ppm),NO (µg/m3),PM1 (µg/m3),PM2.5 (µg/m3),PM10 (µg/m3),UPT (s)
AQT530_01,1636622587,2021-11-11T10:23:07,2021-11-11,10:23:07,10.383333333333333,0,Day,3.6,93.8,1019.9,,,,,0.004,0.008510097404765852,0.033,0.04389481647323837,1.2,3.1,118.8,422
AQT530_01,1636623226,2021-11-11T10:33:46,2021-11-11,10:33:46,10.55,639,Day,3.4,95.9,1019.8,,,0.6679999999999999,0.0008298397922148625,0.001,0.0021288542172873148,0.015,0.019964660956497595,1.4,4.6,190.3,482
AQT530_01,1636623856,2021-11-11T10:44:16,2021-11-11,10:44:16,10.733333333333333,1269,Day,3.7,94.8,1019.7,,,0.139,0.00017247221486418359,,,0.011000000000000001,0.014623452273934965,0.0,0.0,0.0,241
AQT530_01,1636624456,2021-11-11T10:54:16,2021-11-11,10:54:16,10.9,1869,Day,3.6,95.8,1019.6,,,0.324,0.00040212739110713036,-0.0,-0.0,0.011000000000000001,0.014627301655755093,1.3,3.6,153.2,841
AQT530_01,1636625056,2021-11-11T11:04:16,2021-11-11,11:04:16,11.066666666666666,2469,Day,3.8,95.3,1019.4,0.0,0.0,0.341,0.00042283807558537415,,,0.006,0.007971202564846704,1.3,3.3,120.1,1441
AQT530_01,1636625656,2021-11-11T11:14:16,2021-11-11,11:14:16,11.233333333333333,3069,Day,5.0,90.5,1019.4,0.0,0.0,0.33799999999999997,0.00041730992530010925,0.001,0.0021157782210500945,0.003,0.0039684065258570825,1.2,2.7,81.5,2040
AQT530_01,1636626256,2021-11-11T11:24:16,2021-11-11,11:24:16,11.4,3669,Day,4.8,92.4,1019.4,0.001,0.0020295208818759147,0.335,0.0004139036028461283,0.002,0.004234601274942139,0.003,0.003971262008156674,1.4,2.5,20.3,2640
AQT530_01,1636626856,2021-11-11T11:34:16,2021-11-11,11:34:16,11.566666666666666,4269,Day,4.9,93.0,1019.3,0.002,0.004057183903054887,0.332,0.000410009252481595,0.001,0.002116331529522219,0.002,0.002646296216706741,1.7,3.0,23.7,3240
AQT530_01,1636627456,2021-11-11T11:44:16,2021-11-11,11:44:16,11.733333333333333,4869,Day,5.2,92.0,1019.3,0.001,0.002026405576153065,0.32899999999999996,0.0004058664429877761,0.001,0.0021140505902053274,0.002,0.002643444092169245,2.1,3.8,46.8,3839
AQT530_01,1636628056,2021-11-11T11:54:16,2021-11-11,11:54:16,11.9,5469,Day,5.4,91.9,1019.2,0.0,0.0,0.317,0.000390743680819234,0.001,0.002112325440252099,0.0,0.0,1.7,3.1,35.8,4439
AQT530_01,1636628656,2021-11-11T12:04:16,2021-11-11,12:04:16,12.066666666666666,6069,Day,5.8,91.3,1019.0,0.001,0.0020214518054726344,0.306,0.00037656997852237076,0.001,0.0021088825616754287,0.001,0.0013184909515808253,1.7,3.4,41.6,5038
AQT530_01,1636629256,2021-11-11T12:14:16,2021-11-11,12:14:16,12.233333333333333,6669,Day,6.3,89.6,1018.9,0.0,0.0,0.311,0.00038200081207629327,,,0.003,0.0039480081311369835,1.2,2.2,11.8,5638
AQT530_01,1636629856,2021-11-11T12:24:16,2021-11-11,12:24:16,12.4,7269,Day,6.8,87.8,1018.8,0.0,0.0,0.314,0.00038495907434441256,,,0.002,0.0026270467146801125,1.0,1.8,2.4,6237
AQT530_01,1636630456,2021-11-11T12:34:16,2021-11-11,12:34:16,12.566666666666666,7869,Day,7.3,85.4,1018.8,0.001,0.00201024534550252,0.332,0.0004063011246759074,,,0.003,0.003933544630636643,1.9,3.2,14.3,6837
AQT530_01,1636631056,2021-11-11T12:44:16,2021-11-11,12:44:16,12.733333333333333,8469,Day,8.1,83.2,1018.7,0.005,0.010021652802684038,0.40700000000000003,0.0004966204888776103,-0.0,-0.0,0.004,0.005229294511776536,4.1,6.4,7.8,7437
