Timestamp,DateTime,Latitude,Longitude,Altitude,Distance,Speed,Cadence
1647970588,2022-03-22T18:36:28,49.2467303853482,3.895505592226982,128.0,7238.740234375,7.790999889373779,74
1647970589,2022-03-22T18:36:29,49.24669308587909,3.895432250574231,128.0,7245.5,7.25,74
1647970592,2022-03-22T18:36:32,49.24659007228911,3.895242065191269,128.39999389648438,7263.47021484375,5.664000034332275,77
1647970593,2022-03-22T18:36:33,49.24655361101031,3.895175512880087,128.60000610351562,7269.7900390625,5.664000034332275,74
1647970596,2022-03-22T18:36:36,49.24644112586975,3.8949677255004644,129.60000610351562,7289.419921875,6.139999866485596,73
1647970600,2022-03-22T18:36:40,49.246310871094465,3.8946917094290257,130.60000610351562,7314.18994140625,5.664000034332275,75
1647970601,2022-03-22T18:36:41,49.246274158358574,3.894624151289463,130.8000030517578,7320.580078125,5.664000034332275,74
1647970606,2022-03-22T18:36:46,49.246046086773276,3.894269932061434,132.0,7356.72998046875,5.813000202178955,77
1647970607,2022-03-22T18:36:47,49.24600761383772,3.8941841013729572,132.1999969482422,7364.2998046875,5.849999904632568,80
1647970609,2022-03-22T18:36:49,49.24592102877796,3.894038926810026,133.1999969482422,7378.580078125,6.139999866485596,81
1647970610,2022-03-22T18:36:50,49.24588205292821,3.8939654175192118,133.60000610351562,7385.4501953125,6.139999866485596,78
1647970612,2022-03-22T18:36:52,49.24582581035793,3.893821332603693,133.8000030517578,7397.64990234375,6.14900016784668,76
1647970614,2022-03-22T18:36:54,49.24578918144107,3.893632236868143,134.39999389648438,7411.64013671875,6.251999855041504,77
1647970615,2022-03-22T18:36:55,49.24575196579099,3.893543304875493,134.60000610351562,7419.330078125,6.251999855041504,79
1647970617,2022-03-22T18:36:57,49.245707457885146,3.893392262980342,135.0,7431.3798828125,4.880000114440918,76
1647970618,2022-03-22T18:36:58,49.24568264745176,3.893309533596039,135.39999389648438,7438.0,4.880000114440918,76
1647970619,2022-03-22T18:36:59,49.245651634410024,3.8932253792881966,135.8000030517578,7445.02001953125,5.39300012588501,74
1647970620,2022-03-22T18:37:00,49.24562028609216,3.8931378722190857,136.0,7452.27001953125,5.513999938964844,76
1647970622,2022-03-22T18:37:02,49.2456061206758,3.8929470162838697,136.60000610351562,7465.6201171875,5.495999813079834,75
1647970624,2022-03-22T18:37:04,49.24554702825844,3.8927724212408066,137.39999389648438,7479.93017578125,5.495999813079834,73
1647970625,2022-03-22T18:37:05,49.245520792901516,3.8926905300468206,137.8000030517578,7486.56005859375,5.495999813079834,72
1647970629,2022-03-22T18:37:09,49.24539598636329,3.8924149330705404,138.8000030517578,7510.97021484375,5.4770002365112305,72
1647970630,2022-03-22T18:37:10,49.24537695944309,3.8923495542258024,139.1999969482422,7516.14990234375,5.4770002365112305,71
1647970632,2022-03-22T18:37:12,49.24533421173692,3.892221562564373,139.8000030517578,7526.60986328125,5.355999946594238,69
1647970636,2022-03-22T18:37:16,49.24521619454026,3.892030455172062,141.1999969482422,7545.740234375,4.982999801635742,70
1647970639,2022-03-22T18:37:19,49.24512223340571,3.8918741326779127,142.39999389648438,7561.18994140625,4.954999923706055,69
1647970642,2022-03-22T18:37:22,49.24503732472658,3.891728790476918,143.60000610351562,7575.33984375,4.861000061035156,70
1647970643,2022-03-22T18:37:23,49.245006730780005,3.8916838634759188,143.8000030517578,7580.06005859375,4.739999771118164,71
1647970644,2022-03-22T18:37:24,49.2449792381376,3.8916388526558876,144.1999969482422,7584.52978515625,4.656000137329102,69
1647970646,2022-03-22T18:37:26,49.24492936581373,3.8915324863046408,144.8000030517578,7594.0498046875,4.739999771118164,68
1647970649,2022-03-22T18:37:29,49.244844457134604,3.891373984515667,145.60000610351562,7608.9599609375,4.599999904632568,68
1647970650,2022-03-22T18:37:30,49.244816210120916,3.891321010887623,146.0,7613.93017578125,4.599999904632568,66
1647970653,2022-03-22T18:37:33,49.2447427008301,3.8911699689924717,147.1999969482422,7627.64013671875,4.599999904632568,68
1647970656,2022-03-22T18:37:36,49.24466575495899,3.891011467203498,148.39999389648438,7642.02001953125,4.263999938964844,66
1647970660,2022-03-22T18:37:40,49.24456282518804,3.890803176909685,149.60000610351562,7661.009765625,4.236000061035156,61
1647970663,2022-03-22T18:37:43,49.24449090845883,3.8906641211360693,150.8000030517578,7673.919921875,4.236000061035156,60
1647970666,2022-03-22T18:37:46,49.24442242830992,3.8905145041644573,151.8000030517578,7687.18994140625,4.236000061035156,58
1647970669,2022-03-22T18:37:49,49.24435059539974,3.890389110893011,153.39999389648438,7699.31005859375,4.179999828338623,56
1647970672,2022-03-22T18:37:52,49.24427700228989,3.890273356810212,154.60000610351562,7711.0400390625,3.2750000953674316,55
1647970675,2022-03-22T18:37:55,49.244210785254836,3.8901757914572954,155.60000610351562,7721.259765625,3.2839999198913574,58
1647970677,2022-03-22T18:37:57,49.24416359513998,3.890099013224244,156.39999389648438,7728.93994140625,3.5360000133514404,58
