"Circuits","Durée","Temps cumulé","Distance","Vitesse moyenne","Ascension totale","Descente totale","Cadence de vélo moyenne","Cadence de vélo maximale","Calories","Température moyenne","Vitesse max","Temps de déplacement","Vitesse moyenne en déplacement"
"1","1:38.7","1:38.7","0.80","29.2","11","11","58","78","30","25.0","37.0","1:38.7","29.2"
"2","7:25.3","9:04.0","3.17","25.6","92","95","76","119","134","18.0","68.7","7:25.3","25.6"
"3","7:35.0","16:39","3.26","25.8","95","96","70","109","140","14.0","66.2","7:35.0","25.8"
"4","7:47.5","24:26","3.20","24.6","96","95","60","108","139","12.0","67.7","7:47.5","24.6"
"5","7:43.0","32:09","3.22","25.1","95","96","80","120","141","12.0","68.5","7:43.0","25.1"
"6","6:59.8","39:09","2.47","21.2","92","78","66","91","124","11.0","62.0","6:57","21.4"
"Récapitulatif","39:09","39:09","16.13","24.7","483","472","70","120","708","13.9","68.7","39:06","24.7"
