Timestamp,DateTime,Latitude,Longitude,Altitude,Cadence,Distance,Speed,Breathing rate (rpm),Minute ventilation (mL/min),Heart rate (bpm)
1647869841,2022-03-21T14:37:21,49.24265845678747,4.0671939589083195,130.8000030517578,0,2.549999952316284,2.193000078201294,24.0,32424.0,97.0
1647869843,2022-03-21T14:37:23,49.24262057058513,4.067134195938706,130.8000030517578,13,8.579999923706055,2.6689999103546143,25.0,34900.0,99.0
1647869849,2022-03-21T14:37:29,49.2424925789237,4.06694183126092,129.39999389648438,49,28.549999237060547,3.0789999961853027,25.0,36928.0,106.0
1647869850,2022-03-21T14:37:30,49.24246885813773,4.066909980028868,129.1999969482422,51,32.060001373291016,3.2190001010894775,24.0,40552.0,107.0
1647869855,2022-03-21T14:37:35,49.24235377460718,4.066744688898325,128.39999389648438,58,49.66999816894531,3.434000015258789,22.0,40552.0,104.0
1647869861,2022-03-21T14:37:41,49.24219912849367,4.066499937325716,130.8000030517578,66,74.43000030517578,4.189000129699707,18.0,29903.0,105.0
1647869863,2022-03-21T14:37:43,49.24213861115277,4.066412765532732,132.1999969482422,70,83.66999816894531,4.320000171661377,17.0,29903.0,107.0
1647869866,2022-03-21T14:37:46,49.24203702248633,4.0662680100649595,132.39999389648438,75,99.13999938964844,4.479000091552734,17.0,32946.0,108.0
1647869868,2022-03-21T14:37:48,49.241976756602526,4.066163068637252,132.1999969482422,73,109.29000091552734,4.739999771118164,17.0,31350.0,111.0
1647869869,2022-03-21T14:37:49,49.241944486275315,4.066117387264967,131.8000030517578,74,114.16000366210938,4.739999771118164,17.0,31350.0,111.0
1647869874,2022-03-21T14:37:54,49.24177709966898,4.065887052565813,131.60000610351562,61,139.22999572753906,4.992000102996826,16.0,30321.0,108.0
1647869883,2022-03-21T14:38:03,49.241473423317075,4.065427221357822,131.60000610351562,60,186.8000030517578,5.066999912261963,21.0,32558.0,99.0
1647869891,2022-03-21T14:38:11,49.24117913469672,4.064991949126124,132.1999969482422,72,232.33999633789062,5.505000114440918,22.0,32349.0,97.0
1647869898,2022-03-21T14:38:18,49.240913428366184,4.06455097720027,131.60000610351562,9,276.05999755859375,6.130000114440918,22.0,29217.0,99.0
1647869900,2022-03-21T14:38:20,49.240858191624284,4.064389374107122,131.39999389648438,77,289.29998779296875,6.185999870300293,21.0,29217.0,99.0
1647869901,2022-03-21T14:38:21,49.24084100872278,4.064300945028663,131.1999969482422,79,296.010009765625,6.196000099182129,21.0,29217.0,99.0
1647869902,2022-03-21T14:38:22,49.24082734622061,4.064211593940854,131.1999969482422,82,302.69000244140625,6.261000156402588,21.0,28248.0,99.0
1647869905,2022-03-21T14:38:25,49.240802032873034,4.063926357775927,131.0,75,323.67999267578125,6.7179999351501465,21.0,31604.0,98.0
1647869908,2022-03-21T14:38:28,49.24081544391811,4.063635505735874,131.1999969482422,75,344.92999267578125,6.810999870300293,23.0,36287.0,97.0
1647869909,2022-03-21T14:38:29,49.24082952551544,4.063545316457748,131.0,73,351.67999267578125,6.810999870300293,23.0,36287.0,97.0
1647869911,2022-03-21T14:38:31,49.240863556042314,4.063373068347573,131.0,69,364.7699890136719,6.810999870300293,23.0,33707.0,99.0
1647869913,2022-03-21T14:38:33,49.240912003442645,4.063215488567948,131.1999969482422,69,377.44000244140625,6.802000045776367,23.0,33602.0,103.0
1647869916,2022-03-21T14:38:36,49.241004874929786,4.062985992059112,131.8000030517578,73,397.0799865722656,6.5970001220703125,23.0,39553.0,112.0
1647869918,2022-03-21T14:38:38,49.24108517356217,4.062848277390003,132.1999969482422,73,410.5,6.5970001220703125,25.0,42700.0,118.0
1647869921,2022-03-21T14:38:41,49.24122104421258,4.0626635402441025,132.39999389648438,74,430.739990234375,6.5970001220703125,27.0,42626.0,121.0
1647869923,2022-03-21T14:38:43,49.2413217946887,4.062563879415393,132.60000610351562,70,444.1000061035156,6.698999881744385,26.0,43252.0,123.0
1647869925,2022-03-21T14:38:45,49.24142589792609,4.062479725107551,133.0,67,457.20001220703125,6.698999881744385,25.0,43133.0,123.0
1647869926,2022-03-21T14:38:46,49.24147266894579,4.062434798106551,133.60000610351562,72,463.3299865722656,6.698999881744385,25.0,46846.0,122.0
1647869930,2022-03-21T14:38:50,49.24164374358952,4.062223322689533,134.60000610351562,66,487.80999755859375,6.354000091552734,26.0,48248.0,122.0
1647869931,2022-03-21T14:38:51,49.24168171361089,4.062165571376681,134.8000030517578,65,493.7699890136719,6.297999858856201,26.0,46638.0,122.0
1647869935,2022-03-21T14:38:55,49.241822361946106,4.061922077089548,135.8000030517578,64,517.4199829101562,6.0370001792907715,27.0,47682.0,125.0
1647869937,2022-03-21T14:38:57,49.24188983626664,4.06179416924715,136.60000610351562,66,529.3800048828125,6.0,27.0,48636.0,126.0
1647869938,2022-03-21T14:38:58,49.24192386679351,4.061727114021778,137.0,66,535.5599975585938,6.0,28.0,48890.0,127.0
1647869947,2022-03-21T14:39:07,49.242243468761444,4.061108781024814,138.1999969482422,72,592.9500122070312,6.223999977111816,30.0,58286.0,130.0
1647869948,2022-03-21T14:39:08,49.24227758310735,4.061032421886921,138.39999389648438,73,599.6799926757812,6.392000198364258,30.0,59166.0,131.0
1647869953,2022-03-21T14:39:13,49.24242996610701,4.060630006715655,139.39999389648438,75,633.5499877929688,6.6620001792907715,31.0,59792.0,134.0
1647869955,2022-03-21T14:39:15,49.24248671159148,4.060460356995463,139.60000610351562,76,647.4199829101562,6.709000110626221,32.0,60762.0,136.0
