Timestamp,DateTime,Latitude,Longitude,Altitude,Cadence,Distance,Speed,Breathing rate (rpm),Minute ventilation (mL/min),Heart rate (bpm)
1647969588,2022-03-22T18:19:48,49.24563093110919,3.893147511407733,110.4000015258789,57,6.809999942779541,6.0,17.0,30053.0,101.0
1647969589,2022-03-22T18:19:49,49.24564886838198,3.893240885809064,135.8000030517578,57,13.869999885559082,6.0370001792907715,18.0,28233.0,101.0
1647969590,2022-03-22T18:19:50,49.24567015841603,3.893344569951296,137.39999389648438,51,21.739999771118164,6.0370001792907715,19.0,28233.0,99.0
1647969593,2022-03-22T18:19:53,49.24574970267713,3.893621927127242,138.60000610351562,62,43.790000915527344,6.485000133514404,20.0,27189.0,96.0
1647969595,2022-03-22T18:19:55,49.24582555890083,3.8938115257769823,138.1999969482422,32,59.97999954223633,7.548999786376953,19.0,27189.0,93.0
1647969597,2022-03-22T18:19:57,49.245915077626705,3.893993915989995,137.39999389648438,32,76.56999969482422,8.062000274658203,19.0,29635.0,90.0
1647969601,2022-03-22T18:20:01,49.24611892551184,3.8943948224186897,137.60000610351562,63,113.52999877929688,9.38700008392334,19.0,29844.0,88.0
1647969607,2022-03-22T18:20:07,49.24645470455289,3.895023800432682,136.39999389648438,20,172.6199951171875,9.53600025177002,19.0,32260.0,83.0
1647969608,2022-03-22T18:20:08,49.246508264914155,3.8951297476887703,136.39999389648438,0,182.36000061035156,9.675999641418457,19.0,32260.0,81.0
1647969613,2022-03-22T18:20:13,49.246795931831,3.89568823389709,135.0,0,234.10000610351562,10.01200008392334,18.0,28382.0,73.0
1647969616,2022-03-22T18:20:16,49.24696306698024,3.8960264436900616,133.8000030517578,0,264.95001220703125,10.244999885559082,18.0,28382.0,73.0
1647969620,2022-03-22T18:20:20,49.24718535505235,3.896478395909071,132.1999969482422,71,306.1099853515625,10.27299976348877,17.0,25384.0,77.0
1647969625,2022-03-22T18:20:25,49.24745734781027,3.897051215171814,131.1999969482422,64,357.6300048828125,10.281999588012695,17.0,25504.0,82.0
