Timestamp,DateTime,Latitude,Longitude,Altitude,Cadence,Distance,Speed,Breathing rate (rpm),Minute ventilation (mL/min),Heart rate (bpm)
1647969588,2022-03-22T18:19:48,49.24563093110919,3.893147511407733,110.40000152587890625,57,0.0,0.0,17.0,30053.0,101.0
1647969589,2022-03-22T18:19:49,49.24564886838198,3.893240885809064,135.8000030517578125,57,7.065423983281675,7.477696073702755,18.0,28233.0,101.0
1647969590,2022-03-22T18:19:50,49.24567015841603,3.893344569951296,137.399993896484375,51,14.95539214740551,7.470131789938634,19.0,28233.0,99.0
1647969593,2022-03-22T18:19:53,49.24574970267713,3.893621927127242,138.600006103515625,62,36.94595114303621,7.626517328207545,20.0,27189.0,96.0
1647969595,2022-03-22T18:19:55,49.24582555890083,3.8938115257769823,138.1999969482421875,32,53.08797878844324,8.176547967489391,19.0,27189.0,93.0
1647969597,2022-03-22T18:19:57,49.245915077626705,3.893993915989995,137.399993896484375,32,69.65214301299378,8.908618830765135,19.0,29635.0,90.0
1647969601,2022-03-22T18:20:01,49.24611892551184,3.8943948224186897,137.600006103515625,63,106.53969177303405,9.5867281218061,19.0,29844.0,88.0
1647969607,2022-03-22T18:20:07,49.24645470455289,3.895023800432682,136.399993896484375,20,165.51942423105478,9.815250342416897,19.0,32260.0,83.0
1647969608,2022-03-22T18:20:08,49.246508264914155,3.8951297476887703,136.399993896484375,0,175.24644416995233,10.227768422002336,19.0,32260.0,81.0
1647969613,2022-03-22T18:20:13,49.246795931831,3.89568823389709,135,0,226.8860347630688,10.30383894356342,18.0,28382.0,73.0
1647969616,2022-03-22T18:20:16,49.24696306698024,3.8960264436900616,133.8000030517578125,0,257.6771557184597,10.266665997276208,18.0,28382.0,73.0
1647969620,2022-03-22T18:20:20,49.24718535505235,3.896478395909071,132.1999969482421875,71,298.75269674400226,10.27680741704277,17.0,25384.0,77.0
1647969625,2022-03-22T18:20:25,49.24745734781027,3.897051215171814,131.1999969482421875,64,350.1684224718446,10.25370328232782,17.0,25504.0,82.0
1647969627,2022-03-22T18:20:27,49.24756589345634,3.897277107462287,130.8000030517578125,65,370.528619720297,10.084763513578082,17.0,26682.0,83.0
1647969630,2022-03-22T18:20:30,49.247731771320105,3.8976041693240404,130,26,400.59224003973503,9.65845875373928,17.0,26682.0,80.0
1647969634,2022-03-22T18:20:34,49.24793184734881,3.8980208337306976,129.399993896484375,0,438.13783099647196,9.125163763655642,17.0,24460.0,76.0
1647969638,2022-03-22T18:20:38,49.248112980276346,3.8984228298068047,129,0,473.59355014898017,8.327916323432257,17.0,24251.0,76.0
1647969640,2022-03-22T18:20:40,49.248186154291034,3.8985883723944426,128.600006103515625,0,488.1053289370655,5.505786034269647,17.0,25847.0,73.0
1647969642,2022-03-22T18:20:42,49.248226806521416,3.898671017959714,128.1999969482421875,0,495.61669428605876,3.0195137255139266,19.0,25847.0,73.0
1647969643,2022-03-22T18:20:43,49.24824072048068,3.8986711017787457,127.8000030517578125,0,497.1638701136073,1.5858299923035588,19.0,27219.0,75.0
1647969644,2022-03-22T18:20:44,49.24824063666165,3.8986487220972776,127.59999847412109375,0,498.7883542706659,2.9115388308775776,19.0,27219.0,75.0
1647969648,2022-03-22T18:20:48,49.248171988874674,3.898504888638854,127,29,511.7215642679952,4.172337974638643,18.0,23774.0,87.0
1647969651,2022-03-22T18:20:51,49.24808875657618,3.89832048676908,126.8000030517578125,51,527.9947200931364,5.674278546334023,18.0,24519.0,108.0
1647969652,2022-03-22T18:20:52,49.24805346876383,3.898250414058566,126.8000030517578125,54,534.4186784533313,6.564193987627135,18.0,24519.0,113.0
1647969655,2022-03-22T18:20:55,49.24794944934547,3.8980284612625837,126.8000030517578125,60,554.2514960436449,7.014618422820831,18.0,33036.0,118.0
1647969660,2022-03-22T18:21:00,49.2477476131171,3.8976356852799654,127.1999969482421875,73,590.5356258358979,7.458475312196811,18.0,31992.0,119.0
1647969664,2022-03-22T18:21:04,49.24758793786168,3.897288255393505,128,75,621.3777738534162,7.828588282797152,17.0,32767.0,122.0
1647969666,2022-03-22T18:21:06,49.2475057952106,3.897105110809207,128.399993896484375,76,637.5071555326808,8.104335674106741,17.0,36570.0,123.0
1647969667,2022-03-22T18:21:07,49.24746313132346,3.897013245150447,128.600006103515625,74,645.6907808757364,8.33830973672043,17.0,38077.0,124.0
1647969671,2022-03-22T18:21:11,49.24728350713849,3.8966425973922014,129,76,679.198704216283,8.146544711011225,20.0,47413.0,126.0
1647969673,2022-03-22T18:21:13,49.247200191020966,3.896473618224263,129.1999969482421875,74,694.5700491418038,7.643423393388275,20.0,41954.0,127.0
1647969676,2022-03-22T18:21:16,49.247074127197266,3.896225094795227,129.8000030517578125,76,717.4158211832244,8.31037352503256,24.0,57883.0,129.0
1647969678,2022-03-22T18:21:18,49.24697522073984,3.896016636863351,130,77,736.1219167669666,8.286352161342165,30.0,59703.0,131.0
1647969682,2022-03-22T18:21:22,49.246807834133506,3.895674906671047,130.399993896484375,73,767.1339341512773,7.305218341536701,32.0,59270.0,134.0
1647969686,2022-03-22T18:21:26,49.24666349776089,3.8953684642910957,131.399993896484375,75,794.5636634992602,6.793406973844685,31.0,57331.0,137.0
1647969687,2022-03-22T18:21:27,49.246626030653715,3.8952990621328354,132,77,801.1009690205008,6.125052870478858,31.0,58569.0,138.0
1647969692,2022-03-22T18:21:32,49.24645269289613,3.8949785381555557,133,78,831.3139807221334,5.948727259868538,29.0,59926.0,140.0
