time [s/256],breathing_rate [rpm](/api/datatype/33/),minute_ventilation [mL/min](/api/datatype/36/),minute_ventilation_adjusted [mL/min](/api/datatype/38/),sleep_position [NA](/api/datatype/270/),activity [g](/api/datatype/49/),heart_rate [bpm](/api/datatype/19/),cadence [spm](/api/datatype/53/)
421880185762,20,15803.199999999999,17748.20923076923,,0.0,75,0
421880186018,21,15803.199999999999,17748.20923076923,,0.0,71,0
421880186274,22,15803.199999999999,17748.20923076923,,0.0,71,0
421880186530,22,15803.199999999999,17748.20923076923,,0.0,73,0
421880186786,22,15803.199999999999,17748.20923076923,,0.0,73,0
421880187042,22,12961.279999999999,14556.514461538463,,0.01953125,73,0
421880187298,21,12961.279999999999,14556.514461538463,,0.01953125,72,0
421880187554,21,12961.279999999999,14556.514461538463,,0.0234375,69,0
421880187810,21,12018.4,13497.587692307694,,0.02734375,70,0
421880188066,21,12018.4,13497.587692307694,,0.06640625,72,0
421880188322,20,12018.4,13497.587692307694,,0.0546875,70,0
421880188578,20,12018.4,13497.587692307694,,0.0625,70,0
421880188834,20,12403.519999999999,13930.107076923077,,0.0625,72,0
421880189090,19,12403.519999999999,13930.107076923077,,0.07421875,78,0
421880189346,19,12403.519999999999,13930.107076923077,,0.0546875,84,0
421880189602,19,12403.519999999999,13930.107076923077,,0.02734375,84,0
421880189858,19,12403.519999999999,13930.107076923077,,0.04296875,86,0
421880190114,19,12403.519999999999,13930.107076923077,,0.03515625,91,0
421880190370,19,12403.519999999999,13930.107076923077,,0.0546875,98,0
421880190626,19,13665.119999999999,15346.980923076924,,0.03125,101,0
421880190882,18,13665.119999999999,15346.980923076924,,0.03515625,110,0
421880191138,17,13665.119999999999,15346.980923076924,,0.046875,110,0
421880191394,17,12562.88,14109.080615384617,,0.03515625,113,0
421880191650,16,12562.88,14109.080615384617,,0.03125,113,0
421880191906,16,12562.88,14109.080615384617,,0.0546875,114,0
421880192162,16,12562.88,14109.080615384617,,0.0703125,111,0
421880192418,16,12562.88,14109.080615384617,,0.09765625,102,0
421880192674,16,11593.439999999999,13020.324923076923,,0.0234375,95,0
421880192930,16,11593.439999999999,13020.324923076923,,0.0234375,89,0
421880193186,16,11593.439999999999,13020.324923076923,,0.05078125,89,0
421880193442,16,11593.439999999999,13020.324923076923,,0.09375,87,0
421880193698,16,11991.84,13467.758769230768,,0.08203125,86,0
