Sensor,Timestamp,DateTime,Date,Time,TimeNumeric,Seconds,Period,Temperature (°C),Humidity (%RH),Pressure (hPa),NO2 (ppm),NO2 (µg/m3),CO (ppm),CO (mg/m3),O3 (ppm),O3 (µg/m3),NO (ppm),NO (µg/m3),PM1 (µg/m3),PM2.5 (µg/m3),PM10 (µg/m3),UPT (s)
AQT530_T3810936,1648539190,2022-03-29T09:33:10,2022-03-29,09:33:10,9.55,0,Day,13.6,57.1,996.0,2.455,4.718706676017294,,,-0.0,0.0,0.016,0.02005881301422974,10.8,19.4,35.1,662
AQT530_T3810936,1648539790,2022-03-29T09:43:10,2022-03-29,09:43:10,9.716666666666667,600,Day,12.1,63.5,995.9,,,,,0.805,1.6225217865673267,1.005,1.2664425002318813,9.1,18.3,36.6,1262
AQT530_T3810936,1648540390,2022-03-29T09:53:10,2022-03-29,09:53:10,9.883333333333333,1200,Day,12.1,62.6,995.7,,,0.282,0.0003316106051831033,,,0.667,0.8403457798064102,9.4,18.6,35.2,1861
AQT530_T3810936,1648540990,2022-03-29T10:03:10,2022-03-29,10:03:10,10.05,1800,Day,12.3,61.9,995.6,,,0.405,0.00047586779316647503,,,0.303,0.38144050134621704,8.9,16.8,29.7,2461
AQT530_T3810936,1648541590,2022-03-29T10:13:10,2022-03-29,10:13:10,10.216666666666667,2400,Day,12.7,61.7,995.5,,,0.409,0.00047984704499114535,,,0.097,0.12192819300109149,11.5,21.0,35.1,3060
AQT530_T3810936,1648542190,2022-03-29T10:23:10,2022-03-29,10:23:10,10.383333333333333,3000,Day,13.2,60.4,995.5,0.0,0.0,0.404,0.00047315331901032784,0.0,0.0,0.003,0.0037643904855850477,9.0,16.5,26.6,3660
AQT530_T3810936,1648542790,2022-03-29T10:33:10,2022-03-29,10:33:10,10.55,3600,Day,13.5,57.1,995.4,,,0.396,0.0004632520235609294,,,,,10.9,20.2,32.8,4259
AQT530_T3810936,1648543390,2022-03-29T10:43:10,2022-03-29,10:43:10,10.716666666666667,4200,Day,13.8,54.2,995.4,,,0.385,0.000449913045186048,,,,,9.9,18.9,31.8,4859
AQT530_T3810936,1648543990,2022-03-29T10:53:10,2022-03-29,10:53:10,10.883333333333333,4800,Day,13.8,58.8,995.3,,,0.373,0.00043584599102594086,0.001,0.002002406988814332,,,11.3,20.5,32.9,5459
AQT530_T3810936,1648544590,2022-03-29T11:03:10,2022-03-29,11:03:10,11.05,5400,Day,14.3,57.8,995.1,,,0.368,0.000429169332600637,0.004,0.007994089053921185,-0.0,-0.0,15.7,25.5,41.4,6058
AQT530_T3810936,1648545190,2022-03-29T11:13:10,2022-03-29,11:13:10,11.216666666666667,6000,Day,14.4,53.7,995.1,,,0.362,0.00042202518962194887,0.008,0.015982617969394156,,,10.6,20.0,33.7,6658
AQT530_T3810936,1648545790,2022-03-29T11:23:10,2022-03-29,11:23:10,11.383333333333333,6600,Day,14.8,55.9,995.0,0.002,0.0038242965951550403,0.36,0.00041906843237236863,0.008,0.015958812133661543,,,9.8,19.0,33.9,7257
AQT530_T3810936,1648546390,2022-03-29T11:33:10,2022-03-29,11:33:10,11.55,7200,Day,15.3,53.4,994.9,0.006,0.01145185159214232,0.372,0.0004322433060627298,0.003,0.005973580487098799,-0.0,-0.0,9.4,17.5,30.0,7857
AQT530_T3810936,1648546990,2022-03-29T11:43:10,2022-03-29,11:43:10,11.716666666666667,7800,Day,15.8,51.6,994.8,0.007,0.013336033909255099,0.377,0.000437251065898515,0.002,0.00397509626878781,,,9.5,16.8,27.7,8456
