time [s/256],breathing_rate [rpm](/api/datatype/33/),minute_ventilation [mL/min](/api/datatype/36/),minute_ventilation_adjusted [mL/min](/api/datatype/38/),sleep_position [NA](/api/datatype/270/),activity [g](/api/datatype/49/),heart_rate [bpm](/api/datatype/19/),cadence [spm](/api/datatype/53/)
422053332073.0,,,,nan,,,
422053332329,10,0.0,0.0,4.0,0.0,70,0
422053332585,10,0.0,0.0,,0.0,70,0
422053332841,10,0.0,0.0,,0.0,70,0
422053333097,10,0.0,0.0,,0.06640625,70,0
422053333353,15,24979.68,28054.102153846157,,0.1953125,70,0
422053333609,27,24979.68,28054.102153846157,,0.4609375,70,0
422053333865,37,25617.12,28769.99630769231,5.0,0.46875,70,0
422053334121,40,25617.12,28769.99630769231,,0.3125,70,0
422053334377,39,24342.239999999998,27338.208,,0.1015625,70,0
422053334633,37,24342.239999999998,27338.208,,0.0859375,70,0
422053334889,35,23505.6,26398.596923076926,,0.1640625,95,0
422053335145,35,22921.28,25742.36061538462,,0.015625,94,0
422053335401,35,22921.28,25742.36061538462,,0.01953125,93,0
422053335657,35,23359.52,26234.53784615385,,0.02734375,93,0
422053335913,34,23359.52,26234.53784615385,,0.0703125,94,0
422053336169,34,25404.64,28531.364923076926,,0.12890625,90,0
422053336425,35,23864.16,26801.287384615385,,0.2109375,90,0
422053336681,35,23864.16,26801.287384615385,,0.32421875,92,0
422053336937,36,25510.879999999997,28650.68061538462,,0.31640625,93,0
422053337193,35,25510.879999999997,28650.68061538462,,0.21484375,93,0
422053337449,35,25510.879999999997,28650.68061538462,,0.140625,94,0
422053337705,34,23240.0,26100.30769230769,,0.3203125,95,0
422053337961,33,23240.0,26100.30769230769,,0.33984375,97,0
422053338217,32,26002.239999999998,29202.515692307694,,0.3359375,98,39
422053338473,32,26002.239999999998,29202.515692307694,,0.3984375,98,66
422053338729,32,26267.84,29500.80492307692,,0.45703125,98,82
422053338985,32,27542.719999999998,30932.593230769235,,0.34375,99,96
422053339241,33,26958.399999999998,30276.356923076924,,0.3828125,99,106
422053339497,34,26958.399999999998,30276.356923076924,,0.39453125,101,108
422053339753,34,30676.8,34452.406153846154,,0.359375,104,107
422053340009,33,30676.8,34452.406153846154,,0.359375,105,106
422053340265,32,30676.8,34452.406153846154,,0.40234375,107,103
422053340521,31,29601.12,33244.334769230765,,0.43359375,108,101
422053340777,32,35789.6,40194.47384615384,,0.3671875,108,100
422053341033,34,35789.6,40194.47384615384,,0.46875,106,100
422053341289,36,31340.8,35198.12923076923,,0.33984375,105,102
422053341545,35,31340.8,35198.12923076923,,0.359375,102,105
422053341801,34,30477.6,34228.68923076923,,0.2578125,102,106
422053342057,33,30477.6,34228.68923076923,,0.375,100,104
422053342313,33,32854.72,36898.377846153846,,0.38671875,98,101
422053342569,33,32854.72,36898.377846153846,,0.359375,96,99
422053342825,32,31606.399999999998,35496.41846153846,,0.40234375,96,99
422053343081,31,31606.399999999998,35496.41846153846,,0.40625,94,101
